,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
166,"År
2023",David Andersen,"Beløb
DKK 79,780",Practices of Comparative-Historical Analysis,"Institution
Aarhus University",167,Conferences
167,"År
2023",Kenneth Bradley Wray,"Beløb
DKK 72,500","Scientific Publication: Philosophical, Historical and Sociological Perspectives","Institution
Aarhus University",168,Conferences
168,"År
2023",Lars Bo Jeppesen,"Beløb
DKK 72,500",The Co-Existence of Prosocial Intrinsic Motivation and Monetary Incentives,"Institution
Copenhagen Business School",169,"Field Trips / Research Stays < 100,000"
169,"År
2023",Rubina Raja,"Beløb
DKK 24,300",Palmyra in Perspective,"Institution
Aarhus University",170,Publication
170,"År
2023",Jens Juul Holst,"Beløb
DKK 792,760",Hormones regulating blood glucose and food intake,"Institution
University of Copenhagen",171,Research Infrastructure
171,"År
2023",Kenneth Bradley Wray,"Beløb
DKK 837,438",Scientific Publication: An Epistemological Study,"Institution
Aarhus University",172,Monograph Fellowships
172,"År
2023",Anoush Margaryan,"Beløb
DKK 1,247,801",Human Capabilities in the Age of Artificial Intelligence and Learning Machines,"Institution
Copenhagen Business School",173,Monograph Fellowships
173,"År
2023",Ingo Zettler,"Beløb
DKK 123,872",Psychology of Predictability: Using Danish Register Data to Understand Human Predictability by Algorithms,"Institution
University of Copenhagen",174,Research Infrastructure
174,"År
2023",Charlie Krautwald,"Beløb
DKK 1,326,530","Street fighting women. Gender, body, and violence on the Far Right in Interwar Scandinavia","Institution
Lund University",175,Reintegration Fellowships
175,"År
2023",Claus Juul Løland,"Beløb
DKK 1,069,602",The structural basis for the function of the human dopamine transporter,"Institution
University of Copenhagen",176,Research Infrastructure
176,"År
2023",Julien Ochala,"Beløb
DKK 820,000",Quantifying cardiac cellular metabo-mechanics,"Institution
University of Copenhagen",177,Research Infrastructure
177,"År
2023",Peter Lindberg Nejsum,"Beløb
DKK 1,685,300",Nanoparticle flow cytometer for multiparametric single-particle characterization of individual extracellular vesicles,"Institution
Aarhus University",178,Research Infrastructure
178,"År
2023",Elvis Genbo Xu,"Beløb
DKK 6,138,000",On the hunt for nanoplastics and their biological impact,"Institution
University of Southern Denmark",179,Research Infrastructure
179,"År
2023",Coen Elemans,"Beløb
DKK 9,996,000",Voice control – Live. Learn. Evolve…,"Institution
University of Southern Denmark",180,Semper Ardens: Accomplish
180,"År
2023",Torben Juel Jensen,"Beløb
DKK 580,000",Danish Corpus of Digitally Mediated Interaction,"Institution
University of Copenhagen",181,Research Infrastructure
181,"År
2023",Mads Kuhlmann Andersen,"Beløb
DKK 1,269,012",Insect thermal tolerance: From neural mechanisms to human health insights,"Institution
Carleton University",182,Reintegration Fellowships
182,"År
2023",Karin Buhmann,"Beløb
DKK 9,996,438",Frontiers of natural resource and sustainability governance for a just energy transition,"Institution
Copenhagen Business School",183,Semper Ardens: Accomplish
183,"År
2023",Katrine Worsaae,"Beløb
DKK 9,995,915",Meiofauna genomics: the new frontier in animal evolution,"Institution
University of Copenhagen",184,Semper Ardens: Accomplish
184,"År
2023",Adam Bencard,"Beløb
DKK 4,289,822",Health Matters – complexity and materiality in the medical museum,"Institution
University of Copenhagen",185,Semper Ardens: Accelerate
185,"År
2023",Seetha Menon,"Beløb
DKK 4,566,000","Beyond the Paycheck: Insights into the effect of Unemployment, Organisational Change, and Job Security on Mental Health","Institution
University of Southern Denmark",186,Semper Ardens: Accelerate
186,"År
2023",Astrid Eichhorn,"Beløb
DKK 9,995,000",Probing quantum gravity at all scales,"Institution
University of Southern Denmark",187,Semper Ardens: Accomplish
187,"År
2023",Shubiao Wu,"Beløb
DKK 1,755,151",Wetland Monitoring Revolution for Climate and Restoration Success (WetGuard),"Institution
Aarhus University",188,Research Infrastructure
188,"År
2023",Janus Mortensen,"Beløb
DKK 9,889,244",AI and the University – Towards a sociolinguistics of literacy and voice in the age of generative language technology,"Institution
University of Copenhagen",189,Semper Ardens: Accomplish
189,"År
2023",Steffen Meyer,"Beløb
DKK 9,840,916",The effect of unknown unknowns on households: Center for research in decision making under risk and ambiguity (CentR-A),"Institution
Aarhus University",190,Semper Ardens: Accomplish
190,"År
2023",Morten Mattrup Smedskjær,"Beløb
DKK 2,303,058",Finding Order in Disorder by Laboratory X-Ray Total Scattering Experiments,"Institution
Aalborg University",191,Research Infrastructure
191,"År
2023",Åsa Fex Svenningsen,"Beløb
DKK 996,507",Using Image Express Pico to decipher signaling in early stages of Multiple Sclerosis,"Institution
University of Southern Denmark",192,Research Infrastructure
192,"År
2023",Marianne Vestergaard,"Beløb
DKK 10,000,000",Fingerprinting the first massive black holes in the Universe,"Institution
University of Copenhagen",193,Semper Ardens: Accomplish
193,"År
2023",Ole W Pedersen,"Beløb
DKK 1,012,514",The Culture of Environmental Law,"Institution
Aarhus University",194,Monograph Fellowships
194,"År
2023",Camilla S. Øverup,"Beløb
DKK 4,963,380",Intimate partner violence: Uncovering scientific and lay-person (mis)understandings,"Institution
University of Copenhagen",195,Semper Ardens: Accelerate
195,"År
2023",Peter Dalsgaard,"Beløb
DKK 983,760",Ideas in the Making,"Institution
Aarhus University",196,Monograph Fellowships
196,"År
2023",Julien Daubanes,"Beløb
DKK 4,997,266",Optimal Climate Finance – How can and should finance help economies decarbonize?,"Institution
Technical University of Denmark",197,Semper Ardens: Accelerate
197,"År
2023",Kira Astakhova,"Beløb
DKK 342,000",New high-throughput DNA/RNA synthesizer for nucleic acid research and technology,"Institution
Technical University of Denmark",198,Research Infrastructure
198,"År
2023",Fernando Geu-Flores,"Beløb
DKK 1,201,533",Purification of Plant Natural Products Using Preparative LC-MS,"Institution
University of Copenhagen",199,Research Infrastructure
199,"År
2023",Ida Hjermitslev,"Beløb
DKK 1,517,592",Why coalition governing can alleviate political polarization,"Institution
University of Vienna",200,Reintegration Fellowships
200,"År
2023",Bjørn Jørgensen,"Beløb
DKK 176,644",Do Auditors Matter?,"Institution
Copenhagen Business School",201,Research Infrastructure
201,"År
2023",Beate Kraft,"Beløb
DKK 5,000,000",Microbial methane cycling under oxygen depletion,"Institution
University of Southern Denmark",202,Semper Ardens: Accelerate
202,"År
2023",Louise von Gersdorff Jørgensen,"Beløb
DKK 320,194",Application for an inverted microscope and a CRISPR microinjection machine to improve teaching and research in our zebrafish facility,"Institution
University of Copenhagen",203,Research Infrastructure
203,"År
2023",Sara Green,"Beløb
DKK 4,478,946",Consumer Medicine: Philosophical and Ethical Implications (COPE),"Institution
University of Copenhagen",204,Semper Ardens: Accelerate
204,"År
2023",Tina Vicky Alstrup Hansen,"Beløb
DKK 521,182",A Caenorhabditis elegans CORE facility for anthelmintic research and beyond,"Institution
University of Copenhagen",205,Research Infrastructure
205,"År
2023",Stine Falsig Pedersen,"Beløb
DKK 1,778,250","Acid-base sensing and responses at tissue, cell and organelle level: Untangling the heterogeneity","Institution
University of Copenhagen",206,Research Infrastructure
206,"År
2023",Carsten Ambelas Skjøth,"Beløb
DKK 429,470",Establishing infrastructure to quantify spore concentrations in the European air using molecular methods,"Institution
Aarhus University",207,Research Infrastructure
207,"År
2023",Giulia Perotti,"Beløb
DKK 1,403,735",Inner disks: Unveiling the composition of nascent terrestrial worlds,"Institution
Max Planck Institute for Astronomy, Heidelberg",208,Reintegration Fellowships
208,"År
2023",Harmandeep Kaur Gill,"Beløb
DKK 1,326,436",Interspecies Ethics: Interconnectedness and Compassion in a Tibetan Buddhist World,"Institution
University of Oxford",209,Reintegration Fellowships
209,"År
2023",Kristoffer Nielbo,"Beløb
DKK 9,984,373",The Golden Array of Danish Cultural Heritage - A Multi-Modal Foundation Model for Temporal Reconstructions of the Danish Golden Age,"Institution
Aarhus University",210,Semper Ardens: Accomplish
210,"År
2023",Johan Gøtzsche-Astrup,"Beløb
DKK 1,318,656",Constructing Democratic Truth-Telling: Activists and Journalists in the US Public,"Institution
Yale University",211,Reintegration Fellowships
211,"År
2023",Aslak Kappel Hansen,"Beløb
DKK 1,403,735",DNA Megabarcoding and AI for Discovering Dark Taxa,"Institution
Museum für Naturkunde, Berlin",212,Reintegration Fellowships
212,"År
2023",Peter Teglberg Madsen,"Beløb
DKK 664,367",High resolution imaging sonar system to study marine fauna,"Institution
Aarhus University",213,Research Infrastructure
213,"År
2023",Julia Bronnmann,"Beløb
DKK 4,988,000",Greener Fields for Safer Plates: Sustainable Pesticide Solutions (SAFEPLATE),"Institution
University of Southern Denmark",214,Semper Ardens: Accelerate
214,"År
2023",Elena Mattana,"Beløb
DKK 4,834,693",Market Power and Inequality in the Labor Market,"Institution
Aarhus University",215,Semper Ardens: Accelerate
215,"År
2023",Anne-Marie Heegaard,"Beløb
DKK 866,656",In vivo imaging – An innovative approach to pharmaceutical research,"Institution
University of Copenhagen",216,Research Infrastructure
216,"År
2023",Ida Seidenfaden,"Beløb
DKK 1,403,077",Hydrological INstrumentation System (HydroINS) supporting groundwater protection and green transition,"Institution
De Nationale Geologiske Undersøgelser for Danmark og Grønland (GEUS)",217,Research Infrastructure
217,"År
2023",Brian Sorrell,"Beløb
DKK 339,200",Deciphering the role of frost flowers and sea ice brine skim formation on cloud processes in the Arctic,"Institution
Aarhus University",218,"Field Trips / Research Stays >100,000"
218,"År
2023",Mette Lübeck,"Beløb
DKK 1,802,800",Laboratory equipment for research within Sustainable Bioresource Technology which includes waste to value research,"Institution
Aalborg University",219,Research Infrastructure
219,"År
2023",Kasper Elgetti Brodersen,"Beløb
DKK 4,999,157",Buried alive: dredging effects on seagrass performance and ecosystem functioning,"Institution
Roskilde University",220,Semper Ardens: Accelerate
220,"År
2023",Mads Bertelsen,"Beløb
DKK 1,686,613",Physiology meets ecology: bridging the gap between biologging data and animal energy expenditure (PHYME),"Institution
Copenhagen Zoo",221,Research Infrastructure
221,"År
2023",Emilie Skulberg,"Beløb
DKK 1,319,827",Black Holes and a New Aesthetics of Science,"Institution
University of Amsterdam",222,Reintegration Fellowships
222,"År
2023",Mette Kjærgaard Thomsen,"Beløb
DKK 767,126",Digital Exclusion: Conceptualization and Consequences (DECC),"Institution
University of Southern Denmark",223,Research Infrastructure
223,"År
2023",Hanne B. S. Knudsen,"Beløb
DKK 255,400",Danish data for large cross-linguistic corpora of normal reading of texts with eyetracking and measurements of individual differences in cognition and language ability,"Institution
Aalborg University",224,Research Infrastructure
224,"År
2023",Janus Spindler Møller,"Beløb
DKK 797,086",Ethnolinguistic cornering. Language identities in the lived life of youth.,"Institution
University of Copenhagen",225,Monograph Fellowships
225,"År
2023",Anders V. Munch,"Beløb
DKK 1,021,000",The History of Danish Design Culture: Shaping Ideals and Practices,"Institution
University of Southern Denmark",226,Monograph Fellowships
226,"År
2023",Tenna Riis,"Beløb
DKK 844,400",Greening and permafrost thaw in high-Arctic controlling future nutrient export to sea,"Institution
Aarhus University",227,"Field Trips / Research Stays >100,000"
227,"År
2023",Thomas Jønsson,"Beløb
DKK 305,000",Investigating attention allocation to different emotional cues in work-related burnout: An eye-tracking study,"Institution
Aarhus University",228,Research Infrastructure
228,"År
2023",Lorenz Meire,"Beløb
DKK 820,182",Understanding Greenland’s coastal region using state of the art ocean floats,"Institution
Greenland Institute of Natural Resources",229,Research Infrastructure
229,"År
2023",Lise Lotte Sørensen,"Beløb
DKK 530,747",A sea-going chamber for measuring climate gas flux in the Arctic Ocean,"Institution
Aarhus University",230,Research Infrastructure
230,"År
2023",Oddny Helgadottir,"Beløb
DKK 4,998,449",MAKRO: Mapping Alternative Knowledge Resources and Obtainment in Macroeconomics,"Institution
Copenhagen Business School",231,Semper Ardens: Accelerate
231,"År
2023",Michael Toft Overgaard,"Beløb
DKK 1,067,457",Intrinsic Phenylalanine and Tyrosine Fluorescence for Determining Calcium Binding Impact of Human Calmodulin Mutations,"Institution
Aalborg University",232,Research Infrastructure
232,"År
2023",Henrik Zetterberg-Nielsen,"Beløb
DKK 911,535","Non-normative Sexualities Today and Historically – A Natural History of Perversions, Deviations and Paraphilias","Institution
Aarhus University",233,Monograph Fellowships
233,"År
2023",Rikke Louise Meyer,"Beløb
DKK 9,972,664",The Catalytic Network,"Institution
Aarhus University",234,Semper Ardens: Accomplish
234,"År
2023",Davide Morisi,"Beløb
DKK 4,997,200","Let the people rule, but let them talk first. How deliberative referendums can benefit representative government (DelibRef)","Institution
University of Southern Denmark",235,Semper Ardens: Accelerate
235,"År
2023",Peter Brodersen,"Beløb
DKK 332,000",How the beech forest turns green in the spring,"Institution
University of Copenhagen",236,Research Infrastructure
236,"År
2023",Sophie Wennerscheid,"Beløb
DKK 755,070","Rethinking rural relations. Farming, food, and care in contemporary Nordic literature and film","Institution
University of Copenhagen",237,Monograph Fellowships
237,"År
2023",David Ricardo Quiroga Martinez,"Beløb
DKK 1,329,302",The representation of musical thoughts in neurons of the human brain,"Institution
University of California Berkeley",238,Reintegration Fellowships
238,"År
2023",Kenneth Veland Halberg,"Beløb
DKK 4,995,397",Water Wisdom of Beetles: Exploring Unique Osmoregulatory Strategies as Linchpins of Evolution,"Institution
University of Copenhagen",239,Semper Ardens: Accelerate
239,"År
2023",Johanne Kristensen,"Beløb
DKK 785,643",The Liberation of the Children and the Psychology of the Trinity: The Theology of Wolfhart Pannenberg in Context(s),"Institution
University of Copenhagen",240,Monograph Fellowships
