Year,Reciever,Grant size (DKK),Description,Translated Description,Country
2020,Childfund International,3505085,"To support young children and their caregivers to protect themselves and their children against COVID -19 and engage in joyful, meaningful Learning through Play activities in Guatemala.","To support young children and their caregivers to protect themselves and their children against COVID -19 and engage in joyful, meaningful Learning through Play activities in Guatemala.",UNITED STATES
2021,Childfund International,939000,ChildFund COVID-19 scale in Mexico,ChildFund COVID-19 scale in Mexico,UNITED STATES
2021,ChildFund International,19634000,"Playful Parenting during COVID-19: Expanding playful learning strategies in Brazil, Ethiopia, Honduras, and Uganda","Playful Parenting during COVID-19: Expanding playful learning strategies in Brazil, Ethiopia, Honduras, and Uganda",UNITED STATES
2021,"Chenine, University of Ottawa",14020000,Building a Post COVID national movement for LtP in Canada focused on student wellbeing with a focus on marginalized populations.,Building a Post COVID national movement for LtP in Canada focused on student wellbeing with a focus on marginalized populations.,CANADA
2021,ChangeX,51049000,Scaling Community Engagement opportunities during Global Play Moment campaigns and beyond,Scaling Community Engagement opportunities during Global Play Moment campaigns and beyond,IRELAND
2021,ChangeX,5105000,Scaling ChangeX in Brazil & Colombia,Scaling ChangeX in Brazil & Colombia,IRELAND
2020,CFU,2368500,This project aims to support teachers in the current situation of emergency remote teaching as well as build a knowledge base and community of practice for new approaches to distance Learning through Play after Covid -19.,This project aims to support teachers in the current situation of emergency remote teaching as well as build a knowledge base and community of practice for new approaches to distance Learning through Play after Covid -19.,DENMARK
2022,Centro de Investigación y Docencia ,-14518000,The State of play ofcurrent adoption and potential for learning through play in Mexican preschool,The State of play ofcurrent adoption and potential for learning through play in Mexican preschool,MEXICO
2021,Centro de Investigación y Docencia,12538000,The State of play of current adoption and potential for learning through play in Mexican preschools,The State of play of current adoption and potential for learning through play in Mexican preschools,MEXICO
2022,Carving Futures PTE LTD ,5173000,Mom’s Belief - Play at Home ,Mom’s Belief - Play at Home,SINGAPORE
2020,Care for Education,2364620,"To help Early Childhood Centres in South Africa by providing financial support to keep practitioners employed, take care of essential operating costs like electricity and rent and provide support and LtP resources for parents and children.","To help Early Childhood Centres in South Africa by providing financial support to keep practitioners employed, take care of essential operating costs like electricity and rent and provide support and LtP resources for parents and children.",SOUTH AFRICA
2021,Care for Education,11406000,Essential Support to ECD services in South Africa,Essential Support to ECD services in South Africa,SOUTH AFRICA
2020,Cambridge,5057588,"This grant contributes by addressing critical gaps in the current knowledge base on play, namely: How can play be measured reliably across child ages and geographic contexts? What is the causal impact of play and playfulness on key aspects of child development? How can we intervene in school and home settings to increase the playful learning of children to ensure better learning outcomes for them?","This grant contributes by addressing critical gaps in the current knowledge base on play, namely: How can play be measured reliably across child ages and geographic contexts? What is the causal impact of play and playfulness on key aspects of child development? How can we intervene in school and home settings to increase the playful learning of children to ensure better learning outcomes for them?",UNITED KINGDOM
2020,Børneriget,1333261,"This grant compliments the Ole Kirk´s Fond Children’s Hospital Copenhagen project with evidence generation around the role of play and health and with the aim of convincing (on an international level) clinical professionals, hospital leaders and decision makers on how to integrate play into health organisations and how to create play -based interventions to empower sick children.","This grant compliments the Ole Kirk´s Fond Children’s Hospital Copenhagen project with evidence generation around the role of play and health and with the aim of convincing (on an international level) clinical professionals, hospital leaders and decision makers on how to integrate play into health organisations and how to create play -based interventions to empower sick children.",DENMARK
2022,Buffalo Fine Arts Academy ,3211000,Creative Commons: Learning through Play in a Contemporary Art Museum,Creative Commons: Learning through Play in a Contemporary Art Museum,UNITED STATES
2022,BRAC Institute of Educational Development,25209000,Strengthening high-quality ECD programs through assessment,Strengthening high-quality ECD programs through assessment,BANGLADESH
2021,BRAC,31941000,BEP Accelerated Learning Program for vulnerable and out of school children in Bangladesh.,BEP Accelerated Learning Program for vulnerable and out of school children in Bangladesh.,BANGLADESH
2020,BRAC,10293750,"To build on the foundation of the Play Lab project partnership with the LEGO Foundation to safely deliver remote and digital playful learning experiences to children ages 3 -8 and their families in Play Lab communities during the global pandemic in Bangladesh, Tanzania, and Uganda.","To build on the foundation of the Play Lab project partnership with the LEGO Foundation to safely deliver remote and digital playful learning experiences to children ages 3 -8 and their families in Play Lab communities during the global pandemic in Bangladesh, Tanzania, and Uganda.",UNITED STATES
2021,BRAC,34702000,Stepping Up BRAC’s Remote Learning through Play Response,Stepping Up BRAC’s Remote Learning through Play Response,UNITED STATES
2020,Boston College,1991135,"To procure personal protective equipment and supplies necessary to protect the health and safety of staff, volunteers, government stakeholders, local partners and participant families during the training and intervention activities in Rwanda","To procure personal protective equipment and supplies necessary to protect the health and safety of staff, volunteers, government stakeholders, local partners and participant families during the training and intervention activities in Rwanda",UNITED STATES
2022,Billund Municipality,715000,The Playful Learning in Infancy Program: Implementation,The Playful Learning in Infancy Program: Implementation,DENMARK
2020,Billund Kommune,1100000,"Building upon a pilot i n Vorbasse school 19/20, this grant will expand the tested playful pedagogical approach (incl. Play Labs) combined with project -based learning to all public schools in the municipality","Building upon a pilot i n Vorbasse school 19/20, this grant will expand the tested playful pedagogical approach (incl. Play Labs) combined with project -based learning to all public schools in the municipality",DENMARK
2021,Billund Kommune,3929000,CoC Playful Daycare,CoC Playful Daycare,DENMARK
2021,Billund Kommune,3712000,CoC Playful Learning & Play Lab - Scale-up,CoC Playful Learning & Play Lab - Scale-up,DENMARK
2021,Big Picture Company,9601000,Big Picture Learning,Big Picture Learning,UNITED STATES
2022,Big Change Charitable Trust,439000,Big Education Conversation: Phase 1,Big Education Conversation: Phase 1,UNITED KINGDOM
2022,Bibliothèques Sans Frontières,479000,Ideas Box,Ideas Box,FRANCE
2022,Association for the Development of Education in Africa,4252000,Strengthening Play-Based STEM education at Basic Learning level in Africa,Strengthening Play-Based STEM education at Basic Learning level in Africa,COTE D’IVOIRE
2022,Association for Solidarity with Asylum Seekers and Migrants,7400000,Capacity & Planning - Leverage Box: Game 4 All,Capacity & Planning - Leverage Box: Game 4 All,TURKEY
2022,Asociación Mexicana para las Naciones Unidas de Jóvenes Jóvenes A.C.,5190000,Cooperative and Collaborative Learning for Mexican Teachers Accreditation,Cooperative and Collaborative Learning for Mexican Teachers Accreditation,MEXICO
2021,Arab Resource Collective,9817000,A Playful Start for Children in Crisis,A Playful Start for Children in Crisis,LEBANON
2020,Annmarie Polsenberg Thomas (Lego prize),686250,Since 1985 the LEGO Prize has been awarded to individuals or organizations that have made an outstanding contribution to the lives of children and are champions of learning through play. Annmarie Polsenberg Thomas was selected as the finalist for the LEGO Prize 2020 due to her outstanding work as Director at the Playful Learning Lab at the University of St. Thomas.,Since 1985 the LEGO Prize has been awarded to individuals or organizations that have made an outstanding contribution to the lives of children and are champions of learning through play. Annmarie Polsenberg Thomas was selected as the finalist for the LEGO Prize 2020 due to her outstanding work as Director at the Playful Learning Lab at the University of St. Thomas.,UNITED STATES
2020,Alinea Sofaskolen,2435000,The core of the programme is live streaming on sofaskolen.dk and YouTube with specially designed remote learning activities.,The core of the programme is live streaming on sofaskolen.dk and YouTube with specially designed remote learning activities.,DENMARK
2020,Alinea Sofaskolen,3005400,"To continue to support the publishing company Alinea in delivering high quality Distance Learning through Play activities, supporting Danish teachers, children and parents affected by the Covid -19 emergency crisis.","To continue to support the publishing company Alinea in delivering high quality Distance Learning through Play activities, supporting Danish teachers, children and parents affected by the Covid -19 emergency crisis.",DENMARK
2020,Age Khan Foundation,2376477,"To help children continue to learn and develop during school closures; and support schools to plan for when they reopen to address learning gaps and ensure safe and healthy learning environments in Kenya, Tanzania and Uganda.","To help children continue to learn and develop during school closures; and support schools to plan for when they reopen to address learning gaps and ensure safe and healthy learning environments in Kenya, Tanzania and Uganda.",KENYA
2021,Aga Khan Foundation,18111000,Strengthening children’s resilience and learning continuity amid COVID disruptions,Strengthening children’s resilience and learning continuity amid COVID disruptions,KENYA
2020,Aeio TU,502596,"The grant allowed aeioTU to demonstrate, collect evidence and advocate for the scaling of a quality and affordable early learning play-based model adapted to the context of Colombia and Mexico.","The grant allowed aeioTU to demonstrate, collect evidence and advocate for the scaling of a quality and affordable early learning play-based model adapted to the context of Colombia and Mexico.",COLOMBIA
2020,Aeio TU,7737555,This follow-up grant aims to initiate scaling of aeioTU’s early learning play-based model by strengthened capacity building of key stakeholders and designing adaptations fitting various settings in Colombia with focus on rural areas.,This follow-up grant aims to initiate scaling of aeioTU’s early learning play-based model by strengthened capacity building of key stakeholders and designing adaptations fitting various settings in Colombia with focus on rural areas.,COLOMBIA
2020,Aeio TU,8995988,To deliver a local material toolkit to promote learning through play at home for 100.000 children in 10 regions of Colombia,To deliver a local material toolkit to promote learning through play at home for 100.000 children in 10 regions of Colombia,COLOMBIA
2022,Abdul Latif Jameel Poverty Action Lab,21501000,Learning for All Initiative,Learning for All Initiative,UNITED STATES
2020,A:Primo,212673,"The project designed, implemented, and evaluated a pilot of the ping:pong programme promoting age-appropriate early childhood support by and between educational institutions and parents in Switzerland with special focus on immigrant communities.","The project designed, implemented, and evaluated a pilot of the ping:pong programme promoting age-appropriate early childhood support by and between educational institutions and parents in Switzerland with special focus on immigrant communities.",SWITZERLAND
2022,600 Hospitals from 43 Countries ,127000,LEGO MRI Scanner ,LEGO MRI Scanner,GLOBAL
2022,300 educational institutions in Ukraine,3467000,Laptops for educators in Ukraine,Laptops for educators in Ukraine,UKRAINE
2023,"Community and Individual Development Association for Entrepreneurship, Education and Employment (CIDA-E3)",6484000,Playful learning to develop entrepreneurial mindsets,Playful learning to develop entrepreneurial mindsets,SOUTH AFRICA
2023,Billund Municipality,4019000,Playful learning and play labs in schools,Playful learning and play labs in schools,DENMARK
2023,VVOB - Education for development,8964000,Integrating play-based learning activities for young learners,Integrating play-based learning activities for young learners,BELGIUM
2023,Fundacion Robotica para la Educacion AC,2457000,Project based learning trainings for Mexican teachers,Project based learning trainings for Mexican teachers,MEXICO
2023,Asociación Mexicana para las Naciones Unidas de Jóvenes (AMNU Jóvenes) AC,1939000,Co-operative and collaborative learning for Mexican teachers accreditation,Co-operative and collaborative learning for Mexican teachers accreditation,MEXICO
2023,Fundacion Carulla - AeioTU,2376000,Environments that enable learning through play in Mexican schools,Environments that enable learning through play in Mexican schools,COLOMBIA
2023,300 educational institutions in Ukraine,418000,Laptops for educators in Ukraine,Laptops for educators in Ukraine,UKRAINE
2023,513 educational institutions in Ukraine,7825000,"Laptops, printers and projectors for educational institutions in Ukraine","Laptops, printers and projectors for educational institutions in Ukraine",UKRAINE
2023,New Ukrainian School Reform (NUS),18904000,Support for a nationwide education catch-up programme,Support for a nationwide education catch-up programme,UKRAINE
2023,Danish Technical Museum,5000000,Establishment of a play lab at the museum,Establishment of a play lab at the museum,DENMARK
2023,Save the Children Denmark,421000,Mental health and psychosocial support for Ukranian teachers,Mental health and psychosocial support for Ukranian teachers,DENMARK
2023,National Museum of Denmark,24994000,"Explore, develop and evaluate playful museum experiences","Explore, develop and evaluate playful museum experiences",DENMARK
2023,Common Goal gGmbH,8635000,Develop safe-hubs in South Africa to promote children’s physical and emotional wellbeing,Develop safe-hubs in South Africa to promote children’s physical and emotional wellbeing,GERMANY
2023,For Inspiration and Recognition of Science and Technology (FIRST),-450000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,UNITED KINGDOM
2023,International School of Billund,-164000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,DENMARK
2023,Trustees of Tufts College representing Center for Engeineering and Outreach,-42000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,UNITED STATES
2023,Sesame Workshop,1932000,Multi-media play initiative,Multi-media play initiative,UNITED STATES
2023,Parenting for Lifelong Health (Oxford University),20900000,Building long-term sustainability for scaling playful parenting in the Global South,Building long-term sustainability for scaling playful parenting in the Global South,UNITED KINGDOM
2023,Lever for Change,3094000,Creation of a solutions hub for Build a World of Play Challenge winners,Creation of a solutions hub for Build a World of Play Challenge winners,UNITED STATES
2023,Hvidovre Municipality,1000000,Playful learning in infancy,Playful learning in infancy,DENMARK
2023,Education Outcomes Fund,68020000,Sierra Leone early Childhood Education Outcomes Fund,Sierra Leone early Childhood Education Outcomes Fund,UNITED STATES
2023,Education Outcomes Fund,68020000,Rwanda Early Childhood Education Outcomes Fund,Rwanda Early Childhood Education Outcomes Fund,UNITED STATES
2023,"Moses-Weitzman Health System, Inc",13627000,Prescription for play: improvement of a pediatric healthcare quality in USA,Prescription for play: improvement of a pediatric healthcare quality in USA,UNITED STATES
2023,University of Utah,1724000,Prescription for play: improvement of a pediatric healthcare quality in USA,Prescription for play: improvement of a pediatric healthcare quality in USA,UNITED STATES
2023,The LEGO Group,20000000,Emergency Relief Fund 2023,Emergency Relief Fund 2023,DENMARK
2023,"UNICEF Denmark, UN Children’s Fund",13603000,Mental health and psychosocial support response in the aftermath of earthquakes in Türkiye and Syria and the protracted humanitatian crisis in Lebanon,Mental health and psychosocial support response in the aftermath of earthquakes in Türkiye and Syria and the protracted humanitatian crisis in Lebanon,DENMARK
2023,President and Fellows of Havard College,10827000,Play-based social-emotional learning in Ukraine,Play-based social-emotional learning in Ukraine,UNITED STATES
2023,"International Rescue Committee, Inc",170018000,Professional development to all teachers in refugee camps in Kenya,Professional development to all teachers in refugee camps in Kenya,UNITED STATES
2023,Grand Challenges Canada,68089000,Inclusive learning in crisis settings programme,Inclusive learning in crisis settings programme,CANADA
2023,Save the Children Fund,34010000,Promote the integration of refugee teachers into the national Kenyan education system,Promote the integration of refugee teachers into the national Kenyan education system,UNITED KINGDOM
2023,"Global Partnership for Education, The World Bank Group",70463000,Supporting activities of teacher development in Sierra Leone,Supporting activities of teacher development in Sierra Leone,UNITED STATES
2023,"Global Partnership for Education, The World Bank Group",69666000,Supporting activities of teacher development in Kenya,Supporting activities of teacher development in Kenya,UNITED STATES
2023,Olena Zelenska Foundation,500000,Christmas presents for children in foster families in Ukraine,Christmas presents for children in foster families in Ukraine,UKRAINE
2023,UNICEF Denmark,34592000,Ensure that crisis affected children expereince the benefits of learning through play in Ethiopia,Ensure that crisis affected children expereince the benefits of learning through play in Ethiopia,DENMARK
2023,Fundación Mexicana de Apoyo Infantil AC,3018000,Supporting children affected by hurricane Otis by creating playful spaces,Supporting children affected by hurricane Otis by creating playful spaces,MEXICO
2023,Right to Play International,3396000,Play-based psychosocial support and facilitation of at-home learning for children,Play-based psychosocial support and facilitation of at-home learning for children,CANADA
2023,Invest in Play,5002000,Evidence-based parent programmes to develop the foundational skills that help all children reach their full potential,Evidence-based parent programmes to develop the foundational skills that help all children reach their full potential,UNITED KINGDOM
2023,Play Included CIC,12991000,Support of neurodiverse children through Brick-by-Brick Programme,Support of neurodiverse children through Brick-by-Brick Programme,UNITED KINGDOM
2023,University of Cape Town,909000,Piloting LEGO® Braille Bricks for inclusive education in Africa,Piloting LEGO® Braille Bricks for inclusive education in Africa,SOUTH AFRICA
2023,Carving Futures PTE Ltd,13799000,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,SINGAPORE
2023,Lernin Games SL,16840000,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,SPAIN
2023,Little Journey,18185000,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,UNITED KINGDOM
2023,Onebillion Learners,16510000,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,UNITED KINGDOM
2023,"Social Cipher, Inc",12925000,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,Play for All Accelerator – improving wellbeing and holistic skills of neurodivergent children,UNITED STATES
2023,UNICEF Denmark,4275000,LEGO® Braille Bricks for inclusive play-based learning in Eastern and Southern Africa,LEGO® Braille Bricks for inclusive play-based learning in Eastern and Southern Africa,DENMARK
2023,Rigshospitalet Børneriget,40000,Publication of research article,Publication of research article,DENMARK
2023,University of Cambridge,4615000,"Research in play in education, development and learning","Research in play in education, development and learning",UNITED KINGDOM
2023,Trustees of Boston College,5134000,PLAY Collaborative: Testing an implementation strategy for scaling out evidence-based early childhood development home-visiting in Rwanda,PLAY Collaborative: Testing an implementation strategy for scaling out evidence-based early childhood development home-visiting in Rwanda,UNITED STATES
2023,Research Triangle Institute dba RTI International,5004000,Research the scaling of playful pedagogies through in-service primary teacher professional development,Research the scaling of playful pedagogies through in-service primary teacher professional development,UNITED STATES
2023,Fondazione Reggio Childre-Centro Loris Malaguzzi,14896000,Bringing together educators to engage with learning through play research,Bringing together educators to engage with learning through play research,ITALY
2023,Tsinghua University,7611000,Lab for lifelong learning,Lab for lifelong learning,CHINA
2023,Fondazione Reggio Childre-Centro Loris Malaguzzi,-306000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,ITALY
2023,"Rutgers, The State University of New Jersey",-33000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,UNITED STATES
2023,"Interacting Minds Centre, Aarhus University",-8000,Reversal of previous committed grants not disbursed,Reversal of previous committed grants not disbursed,DENMARK
2023,Capital of Children Playful Minds A/S,3500000,Children’s General Assembly 2023,Children’s General Assembly 2023,DENMARK
2023,Capital of Children Playful Minds A/S,4500000,Children’s General Assembly 2024,Children’s General Assembly 2024,DENMARK
2023,University of Cape Town - Children’s Institute,359000,South African Child Gauge 2024,South African Child Gauge 2024,SOUTH AFRICA
2023,Ole Kirk's Fond,240000000,Ole Kirks Foundation 2024,Ole Kirks Foundation 2024,DENMARK
2023,Ole Kirk's Fond,135000000,Price index adjustment of grants for Mary Elizabeth’s Hospital,Price index adjustment of grants for Mary Elizabeth’s Hospital,DENMARK
2023,LEGO Foundation Partners,6200000,Donation of LEGO products 2023,Donation of LEGO products 2023,GLOBAL
2023,The LEGO Group,15000000,Delivery of early childhood learning and education in four regions in China,Delivery of early childhood learning and education in four regions in China,DENMARK
2023,The LEGO Group,31313000,Integrating learning through play into 18 different museums in USA,Integrating learning through play into 18 different museums in USA,DENMARK
2023,Austrian Research Institute for Artificial Intelligence (OFAI),828000,Development of audio and LEGO® Braille Bricks building instructions,Development of audio and LEGO® Braille Bricks building instructions,AUSTRIA
2023,LEGO Foundation Partners,45000000,Donation of LEGO products 2024,Donation of LEGO products 2024,GLOBAL
2023,Save the Children Denmark,30481000,Local community engagement,Local community engagement,DENMARK
2023,Scratch Foundation,53192000,Promote creative coding and learning through digital play,Promote creative coding and learning through digital play,UNITED STATES
2023,The LEGO Group,3728000,LEGO Charity 2022,LEGO Charity 2022,DENMARK
