Year,Reciever,Grant size (DKK),Description,Translated Description,Project Category
2015, Aarhus Universitet,5 mio. kr.,Theory of astrophysical neutrinos and their sources,Theory of astrophysical neutrinos and their sources, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Danmarks Tekniske Universitet,"4,5 mio. kr.",Joined at the hip: Quantifying effective concentrations in supra-molecular biological assemblies,Joined at the hip: Quantifying effective concentrations in supra-molecular biological assemblies, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,5 mio. kr.,Sugar export from plant leaves: From biometrics to biophysics,Sugar export from plant leaves: From biometrics to biophysics, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,7 mio. kr.,How does climate change impact plants and their herbivores? Eucalyptus and the Koala,How does climate change impact plants and their herbivores? Eucalyptus and the Koala, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,7 mio. kr.,Quantifying convective precipitation etremes under changing climate,Quantifying convective precipitation etremes under changing climate, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,7 mio. kr.,Protein level regulation of transcription factor networks,Protein level regulation of transcription factor networks, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Danmarks Tekniske Universitet Teknisk og naturvidenskabelig forskning Villum Kann Rasmussens Årslegat,500.000 kr.,Topological photonic circuits,Topological photonic circuits, Villum Kann Rasmussens Årslegat Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet Teknisk og naturvidenskabelig forskning Villum Kann Rasmussens Årslegat,500.000 kr.,Villum Kann Rasmussens Årslegat 2016 - personlig andel,Villum Kann Rasmussen's Annual Scholarship 2016 - personal share, Villum Kann Rasmussens Årslegat Teknisk og naturvidenskabelig forskning
2015, Københavns Universitet,"1,2 mio. kr.",Villum Kann Rasmussens Årslegat 2016 - personlig andel,Villum Kann Rasmussen's Annual Scholarship 2016 - personal share, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Naruc,"6,1 mio. kr.",Chemoselective Organic Chemistry for Proteins,Chemoselective Organic Chemistry for Proteins, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Aarhus Universitet,"1,4 mio. kr.",Model Child Advocacy Center (CAC) in Slovakia,Model Child Advocacy Center (CAC) in Slovakia, Kultur og samfund Andre projekter
2015, 4. Maj Kollegiet på Frederiksberg,"8,9 mio. kr.",Aktuel Naturvidenskab i gymnasieundervisningen,Current Science in Upper Secondary Education, Kultur og samfund Andre projekter
2015, Fundacja Po Drugie,"6,3 mio. kr.",Renovering af 4. Maj Kollegiet på Frederiksberg,Renovation of the 4. Maj Kollegiet in Frederiksberg, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Danmarks Tekniske Universitet,"3,6 mio. kr.","I want to be with you, Mom","I want to be with you, Mom", Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, META - Association for Opportunities of Young Migrants,"3,8 mio. kr.",Metal-catalyzed Dehydrogenation and Decarbonylation of Primary Alcohols,Metal-catalyzed Dehydrogenation and Decarbonylation of Primary Alcohols, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Københavns Universitet,30 mio. kr.,Click with school– school inclusion of vulnerable group of migrants,Click with school– school inclusion of vulnerable group of migrants, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Tabitha Gyermek Hospice,"7,6 mio. kr.",Villum Centre of Excellence for the Mathematics of Quantum Theory (QMATH),Villum Centre of Excellence for the Mathematics of Quantum Theory (QMATH), Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Københavns Universitet,"2,5 mio. kr.",“Let’s paint a leaf on the window of Dóri House together!”,“Let’s paint a leaf on the window of Dóri House together!”, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet,"2,5 mio. kr.","Multifocal, a closer look at social interactions","Multifocal, a closer look at social interactions", Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Sort/Hvid,2 mio. kr.,Shining light on the origin of life,Shining light on the origin of life, Kultur og samfund Andre projekter
2015, Association of Vincentian Sisters of Charity,11 mio. kr.,Etablering af nyt teater i Kødbyen i København,Establishment of a new theatre in the Meatpacking District in Copenhagen, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Aarhus Universitet,"5,1 mio. kr.",Restoration and regionally enlargement of Blessed Scheffler Janos rehabilitation center,Restoration and regionally enlargement of Blessed Scheffler Janos rehabilitation center, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Danmarks Tekniske Universitet,"5,1 mio. kr.",Understanding the smallest by looking at the largest,Understanding the smallest by looking at the largest, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Gladsaxe Kommune,"1,7 mio. kr.",Dark-field hyperlens: Superresolution imaging and label-free sensing device for biological applications (DarkSILD),Dark-field hyperlens: Superresolution imaging and label-free sensing device for biological applications (DarkSILD), Kultur og samfund Andre projekter
2015, Det Kongelige Teater,100.000 kr.,Restaurering af Bagsværdfortet,Restoration of the Bagsværd Fort, Kultur og samfund Andre projekter
2015, National Network for Children,"4,3 mio. kr.",Ingeniørbaseret forundersøgelse Museloft og Kroneskakt,Engineer-based feasibility study Museloft and Kroneshaft, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Central European University,15 mio. kr.,Child rights hubs for children in conflict and contact with law in Bulgaria,Child rights hubs for children in conflict and contact with law in Bulgaria, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Eszterháza Center for Culture,"1,9 mio. kr.",Roma in European Societies: Higher education for the emergence of a Roma intelligentsia and the training of Roma inclusion leaders,Roma in European Societies: Higher education for the emergence of a Roma intelligentsia and the training of Roma inclusion leaders, Kultur og samfund Andre projekter
2015, Hungarian Down Association,10 mio. kr.,Revival of Rose Garden and reconstruction of Rose House,Revival of Rose Garden and reconstruction of Rose House, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Københavns Universitet,"5,4 mio. kr.",Fun4All - Early Childhood Intervention Centre and Playhouse in Budapest,Fun4All - Early Childhood Intervention Centre and Playhouse in Budapest, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, KR Foundation,100 mio. kr.,DNA replication stress tolerance,DNA replication stress tolerance, Miljø og klima Miljø og klima
2015, Det Kongelige Teater,"8,1 mio. kr.",KR Foundation 2016,KR Foundation 2016, Kultur og samfund Andre projekter
2015, Egmont H. Petersen's Kollegium,"6,9 mio. kr.",Museloft og kroneskakt,Mouse ceiling and crown shaft, Kultur og samfund Andre projekter
2015, Danmarks Tekniske Universitet,"2,4 mio. kr.",Udskiftning af værelsesvinduer på Egmont H. Petersen's Kollegium,Replacement of room windows at Egmont H. Petersen's Kollegium, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet,"5,3 mio. kr.",A unique high-resolution analytical X-ray photoelectron spectrometer for characterization of energy materials,A unique high-resolution analytical X-ray photoelectron spectrometer for characterization of energy materials, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Equilibrium,"4,6 mio. kr.",Heat-management in microscopic systems: From the classical to the quantum regime,Heat-management in microscopic systems: From the classical to the quantum regime, Unge og uddannelse i Europa Unge og uddannelse i Europa
2015, Roskilde Universitet,"5,8 mio. kr.",Parenting Creatively- Creation of Bulgaria’s first Early Childhood Resource Centre,Parenting Creatively- Creation of Bulgaria’s first Early Childhood Resource Centre, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, EUSO Danmark,1 mio. kr.,Implementation of novel tools to assess metal nanoparticle uptake and trophic transfer,Implementation of novel tools to assess metal nanoparticle uptake and trophic transfer, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Københavns Universitet,"5,9 mio. kr.",Afholdelse af den Europæiske Science Olympiade,Holding the European Science Olympiad, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet,11 mio. kr.,Deep Space,Deep Space, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet,"4,7 mio. kr.",Ambit fields: Probabilistic properties and statistical inference,Ambit fields: Probabilistic properties and statistical inference, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Danmarks Tekniske Universitet,"4,7 mio. kr.",Experiments with Quantum Test Beds,Experiments with Quantum Test Beds, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,"4,9 mio. kr.",Marine biodiversity and ecosystem functioning: Key patterns and processes in nature,Marine biodiversity and ecosystem functioning: Key patterns and processes in nature, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Produktionshøjskolen Marienlyst,"2,4 mio. kr.",Neutrinos on Ice,Neutrinos on Ice, Miljø og klima Miljø og klima
2015, Syddansk Universitet,40 mio. kr.,Det økologiske landbrug som drivkraft i lokal udvikling,Organic farming as a driving force in local development, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Aarhus Universitet,"5,2 mio. kr.",Postdoc-programmet 2016,Postdoc programme 2016, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2015, Danmarks Tekniske Universitet,7 mio. kr.,Extremely precise single crystal diffractometer for extreme conditions,Extremely precise single crystal diffractometer for extreme conditions, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2015, Københavns Universitet,6 mio. kr.,NADEC - Advanced NanoBiosensor for Rapid and Sensitive Detection of Multiple Contaminants in Food,NADEC - Advanced NanoBiosensor for Rapid and Sensitive Detection of Multiple Contaminants in Food, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Malopolskas Hospice for Children Foundation,10 mio. kr.,PLANET PROJECT: Understanding Plant Evolution and Diversity in a Changing World,PLANET PROJECT: Understanding Plant Evolution and Diversity in a Changing World, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Polish Association in Biskupiec,"8,5 mio. kr.",Respite care centre for the chronically and terminally ill children building,Respite care centre for the chronically and terminally ill children building, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Aarhus Universitet,30 mio. kr.,A Good Start,A Good Start, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Copenhagen Business School,19 mio. kr.,Centre for Stochastic Geometry and Advanced Bioimaging - CSGB - a VKR Centre of Excellence (forlængelse),Centre for Stochastic Geometry and Advanced Bioimaging - CSGB - a VKR Centre of Excellence (forlængelse), Kultur og samfund Andre projekter
2014, Roskilde Universitet,5 mio. kr.,CBS Student House,CBS Student House, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Kofoeds Skole,12 mio. kr.,Acartia Tonsa Molecular Physiology – Implementation of Novel and Fast Tools to Assess Copepod Physiological States,Acartia Tonsa Molecular Physiology – Implementation of Novel and Fast Tools to Assess Copepod Physiological States, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, PTU - Livet efter ulykken,"2,3 mio. kr.","Kofoeds Skole i Nuuk, Grønland","Kofoed's School in Nuuk, Greenland", Kultur og samfund Andre projekter
2014, Røde Kors,"8,2 mio. kr.",Ombygning af foreningens brugerområder,Rebuilding of the association's user areas, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Health and Social Development Foundation,"4,1 mio. kr.",Social inclusion of vulnerable children and youth in Romania through community based support,Social inclusion of vulnerable children and youth in Romania through community based support, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Civil Society Development Foundation,"4,6 mio. kr.",One approach many solutions: Early childhood development and life skills education for Roma children,One approach many solutions: Early childhood development and life skills education for Roma children, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Syddansk Universitet,"1,9 mio. kr.",Development of the early intervention services and the crisis services for vulnerable children and youth in the Czech Republic,Development of the early intervention services and the crisis services for vulnerable children and youth in the Czech Republic, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, CONCITO,8 mio. kr.,Univariate and Multivariate Regression on Extreme Values,Univariate and Multivariate Regression on Extreme Values, Miljø og klima Miljø og klima
2014, CHORA 2030,19 mio. kr.,The fact-based climate think tank,The fact-based climate think tank, Miljø og klima Miljø og klima
2014, ICROFS,"6,4 mio. kr.",Chora Connection,Chora Connection, Miljø og klima Miljø og klima
2014, SOS Children's Villages Hungary,10 mio. kr.,Viability of the Villum Experiment (VOVE),Viability of the Villum Experiment (VOVE), Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Københavns Universitet,"3,2 mio. kr.","Improved opportunities for vulnerable children in Bekes County, Hungary","Improved opportunities for vulnerable children in Bekes County, Hungary", Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Carbon Tracker Initiative,"8,5 mio. kr.",New Frontiers in Astrophysics with High Performance Computing,New Frontiers in Astrophysics with High Performance Computing, Miljø og klima Miljø og klima
2014, Civic Association Smisek,1 mio. kr.,Creating a sustainable financial system to tackle climate change,Creating a sustainable financial system to tackle climate change, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014," Centrum Slniecko, n.o.","6,6 mio. kr.",Integrating infant schools Smisek,Integrating infant schools Smisek, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, National Training Fund,"2,1 mio. kr.","Intervention Center Sun, educational, preventive, intervention center helping children exposed to violence","Intervention Center Sun, educational, preventive, intervention center helping children exposed to violence", Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, New Economics Foundation (nef),"1,8 mio. kr.",Professional voluntary work with children and families at risk in the Czech Republic,Professional voluntary work with children and families at risk in the Czech Republic, Miljø og klima Miljø og klima
2014, Københavns Universitet,"3,8 mio. kr.",European New Economics Research and Policy Network,European New Economics Research and Policy Network, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet,"4,7 mio. kr.",On the quest to waterproofing crops – submergence tolerance of wheat,On the quest to waterproofing crops – submergence tolerance of wheat, Kultur og samfund Andre projekter
2014, Institutional Investors Group on Climate Change (IIGCC),"3,4 mio. kr.","The NOW-project: Living resources and human societies around the North Water in the Thule Area, Greenland","The NOW-project: Living resources and human societies around the North Water in the Thule Area, Greenland", Miljø og klima Miljø og klima
2014, ICROFS,35 mio. kr.,International Investor Policy Advocacy Project to Support the Transition to a Low Carbon Economy,International Investor Policy Advocacy Project to Support the Transition to a Low Carbon Economy, Miljø og klima Miljø og klima
2014, World Resources Institute,11 mio. kr.,Challenging one last frontier: Understanding and improving deep rooting (DeepFrontier),Challenging one last frontier: Understanding and improving deep rooting (DeepFrontier), Miljø og klima Miljø og klima
2014, ETP Slovakia - Centre for Sustainable Development,10 mio. kr.,Developing communications capacity on low-carbon economics to support global action on climate change,Developing communications capacity on low-carbon economics to support global action on climate change, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Økologisk Landsforening,16 mio. kr.,Building hope - improving life in Roma ghettos,Building hope - improving life in Roma ghettos, Miljø og klima Miljø og klima
2014, Københavns Universitet,"3,8 mio. kr.",Det samfundsnyttige landbrug,Socially beneficial agriculture, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet,10 mio. kr.,Impact of ExtraChromosomal Circular DNA (ECC) on the Evolution of Eukaryotes,Impact of ExtraChromosomal Circular DNA (ECC) on the Evolution of Eukaryotes, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet,"5,8 mio. kr.",QUADLAB: Noble Gas Time Keepers and Tracers,QUADLAB: Noble Gas Time Keepers and Tracers, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Hope and Homes for Children,12 mio. kr.,Ubiquitin-control of Protein Internalisation Regulates Innate Immunity,Ubiquitin-control of Protein Internalisation Regulates Innate Immunity, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, ANCAAR - Association for Children and Adults with Autism,"5,2 mio. kr.",Strategic Deinstitutionalization for the eradication of institutional care for children 0-3 years of age in Bulgaria,Strategic Deinstitutionalization for the eradication of institutional care for children 0-3 years of age in Bulgaria, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Fundatia pentru Asistenta Sociala si Tineret FAST,"6,8 mio. kr.",RESPIRO,BREATH, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Workshop for Civic Initiatives Foundation,"2,3 mio. kr.",Windows to the future,Windows to the future, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Syddansk Universitet,"4,6 mio. kr.",New Rainbow - Children and Youth Development Program,New Rainbow - Children and Youth Development Program, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Express TV-Produktion ApS,1 mio. kr.,Local and Global Structures of Groups and their Algebras,Local and Global Structures of Groups and their Algebras, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Association for Child Development,"5,3 mio. kr.",TV-serie om rigsfællesskabets historie,TV series about the history of the Danish Realm, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Save the Children Romania,10 mio. kr.,Centre for integrated rehabilitation services for children with disabilities,Centre for integrated rehabilitation services for children with disabilities, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Københavns Universitet,"4,9 mio. kr.",Protection and education of children affected by migration for work abroad through day centres,Protection and education of children affected by migration for work abroad through day centres, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Ministère de la Culture et de la Communication,"6,4 mio. kr.",“Double-trouble”: Combined Effects of Pesticides and Pathogens on Insects.,“Double-trouble”: Combined Effects of Pesticides and Pathogens on Insects., Kultur og samfund Andre projekter
2014, Medarbejderfond for VKR Gruppen,75 mio. kr.,"Restoration of the glass roof of the Rotunda of Palais d’Antin (Paris, France)","Restoration of the glass roof of the Rotunda of Palais d’Antin (Paris, France)", Villum Fonden Villum Fonden
2014, SVASTA Foundation,"5,6 mio. kr.",Kapitalforhøjelse til Medarbejderfondens afdeling for støtte til medarbejdere og deres nærmeste familie,Capital increase for the Employee Foundation's department for support for employees and their immediate families, Unge og uddannelse i Europa Unge og uddannelse i Europa
2014, Københavns Universitet,240.000 kr.,"I want to go to school, even if my dad/mum is behind bars","I want to go to school, even if my dad/mum is behind bars", Miljø og klima Miljø og klima
2014, GEUS - De Nationale Geologiske Undersøgelser for Danmark og Grønland,353.000 kr.,Økologisk restaurering og lokal involvering,Ecological restoration and local involvement, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet,4 mio. kr.,Natural Emissions of Volatile Organohalogens in Arctic and Subarctic Terrestrial Systems,Natural Emissions of Volatile Organohalogens in Arctic and Subarctic Terrestrial Systems, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Syddansk Universitet,4 mio. kr.,Revealing the Role of Species Interactions in Biogeography,Revealing the Role of Species Interactions in Biogeography, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Aarhus Universitet,"3,5 mio. kr.",Study of the molecular mechanisms in zinc signaling - investigating its role as a second messenger,Study of the molecular mechanisms in zinc signaling - investigating its role as a second messenger, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Aarhus Universitet,"2,9 mio. kr.",Solar Connections,Solar Connections, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Aarhus Universitet,4 mio. kr.,Nuclear astrophysics at the precision frontier,Nuclear astrophysics at the precision frontier, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,"3,9 mio. kr.",Galactic archaeology: unraveling the history of the Milky Way,Galactic archaeology: unraveling the history of the Milky Way, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Danmarks Tekniske Universitet,4 mio. kr.,Population Genomics of Bronze Age Europeans,Population Genomics of Bronze Age Europeans, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,"2,4 mio. kr.",Partitioned quantum teleportation of multi-photon states,Partitioned quantum teleportation of multi-photon states, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,"3,9 mio. kr.",Particle seeded III-V semiconductor nanostructures: Going beyond gold for low dimensional nanostructure fabrication,Particle seeded III-V semiconductor nanostructures: Going beyond gold for low dimensional nanostructure fabrication, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,4 mio. kr.,The genetic basis of host specificity: Can pathogenic host jumps be predicted?,The genetic basis of host specificity: Can pathogenic host jumps be predicted?, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Aarhus Universitet,4 mio. kr.,Shedding light on dark matter in galaxy clusters,Shedding light on dark matter in galaxy clusters, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Aarhus Universitet,"2,1 mio. kr.",Semi-analytical anyon models,Semi-analytical anyon models, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, VILLUM FONDEN,20 mio. kr.,"Special geometry, torsion and symmetry","Special geometry, torsion and symmetry", Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet Teknisk og naturvidenskabelig forskning Villum Kann Rasmussens Årslegat,500.000 kr.,Villum Visiting Professor Programme 2015-2016,Villum Visiting Professor Programme 2015-2016, Villum Kann Rasmussens Årslegat Teknisk og naturvidenskabelig forskning
2014, Københavns Universitet Teknisk og naturvidenskabelig forskning Villum Kann Rasmussens Årslegat,"4,5 mio. kr.",Villum Kann Rasmussens Årslegat til Teknisk og Naturvidenskabelig Forskning 2015 (personlig andel),Villum Kann Rasmussen's Annual Award for Technical and Scientific Research 2015 (personal share), Villum Kann Rasmussens Årslegat Teknisk og naturvidenskabelig forskning
2014, Den Danske Naturfond,250 mio. kr.,Villum Kann Rasmussens Årslegat til Teknisk og Naturvidenskabelig Forskning 2015 - Instituttets andel,Villum Kann Rasmussen's Annual Award for Technical and Scientific Research 2015 - The Institute's share, Miljø og klima Miljø og klima
2014, Aalborg Universitet,"5,8 mio. kr.",Den Danske Naturfond,The Danish Nature Fund, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Danmarks Tekniske Universitet,7 mio. kr.,Zero-Delay Information Processing in Feedback Systems,Zero-Delay Information Processing in Feedback Systems, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Danmarks Tekniske Universitet,"6,8 mio. kr.",In silico design of efficient materials for next generation batteries (Mat4Bat),In silico design of efficient materials for next generation batteries (Mat4Bat), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,7 mio. kr.,Spectrum and Energy Efficient Signalling Techniques for Optical Fiber Data Communications,Spectrum and Energy Efficient Signalling Techniques for Optical Fiber Data Communications, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,"6,8 mio. kr.",Multispecies biofilms: Unraveling the black box,Multispecies biofilms: Unraveling the black box, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, GEUS - De Nationale Geologiske Undersøgelser for Danmark og Grønland,7 mio. kr.,Structure functions correlations: New insights in old premises,Structure functions correlations: New insights in old premises, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,"6,7 mio. kr.",Past and future dynamics of the Greenland Ice Sheet: What is the ocean hiding?,Past and future dynamics of the Greenland Ice Sheet: What is the ocean hiding?, Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Københavns Universitet,7 mio. kr.,How termite farmers keep fungus crops disease-free (TREASURE),How termite farmers keep fungus crops disease-free (TREASURE), Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, Danmarks Tekniske Universitet,4 mio. kr.,"HEFT: Systematic Exploration of the nature of the Higgs like Boson, and the Standard Model Effective Theory","HEFT: Systematic Exploration of the nature of the Higgs like Boson, and the Standard Model Effective Theory", Teknisk og naturvidenskabelig forskning Villum Young Investigator
2014, KR Foundation,109 mio. kr.,A high-throughput screening approach for advancing the engineering of new materials,A high-throughput screening approach for advancing the engineering of new materials, Miljø og klima Miljø og klima
2014, Danmarks Tekniske Universitet,30 mio. kr.,KR Foundation 2015,KR Foundation 2015, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2014, Qeqqata Kommunia,17 mio. kr.,Centre for Nanophotonics for Terabit Communications - NATEC - a VKR Centre of Excellence (forlængelse),Centre for Nanophotonics for Terabit Communications - NATEC - a VKR Centre of Excellence (extension), Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, Unicef,11 mio. kr.,iPads i folkeskolen og daginstitutionerne,iPads in primary and lower secondary schools and daycare centres, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, Greenland Institute of Natural Ressources,3 mio. kr.,Breaking the cycle. Prevention of child abandonment and support to most-at-risk families with young children,Breaking the cycle. Prevention of child abandonment and support to most-at-risk families with young children, Miljø og klima Miljø og klima
2013, Københavns Universitet,"5,9 mio. kr.",Kapacitetsopbygning,Capacity building, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2013, Green Budget Europe,"5,2 mio. kr.",Trees for the future forests,Trees for the future forests, Miljø og klima Miljø og klima
2013, Danmarks Tekniske Universitet,5 mio. kr.,Kommunikere og realisere fordele og muligheder ved EFR i Europa,Communicating and realising the benefits and opportunities of the ERA in Europe, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2013, 4. Maj Kollegiet i Aarhus,10 mio. kr.,REINSURE - Revolutionizing Infectious disease surveillance,REINSURE - Revolutionizing Infectious disease surveillance, Kultur og samfund Andre projekter
2013, Carbon War Room,"5,9 mio. kr.",FÆLLESLIV - Renovering og modernisering af 4. Maj Kollegiet i Aarhus,COMMON LIFE - Renovation and modernization of the 4. Maj Kollegiet in Aarhus, Miljø og klima Miljø og klima
2013, Hungarian Interchurch Aid,"6,8 mio. kr.",3-års bevilling,3-year grant, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, Empowering Children Foundation,11 mio. kr.,From institutional care to independent life - job creation by establishing a social farm in south Hungary,From institutional care to independent life - job creation by establishing a social farm in south Hungary, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, Københavns Universitet,"5,8 mio. kr.",Safe Childhood - small grants distribution programme,Safe Childhood - small grants distribution programme, Miljø og klima Miljø og klima
2013, Snetberger Foundation,"7,4 mio. kr.",Building bridges to catalyze sustainable development,Building bridges to catalyze sustainable development, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, CDP,"5,8 mio. kr.",Investing in a secure future,Investing in a secure future, Miljø og klima Miljø og klima
2013, United World Colleges,"7,7 mio. kr.",Carbon Disclosure Project,Carbon Disclosure Project, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, SOZE - Society of Citizens Assisting Migrants,"2,3 mio. kr.",The UWC Young Change Makers Programme,The UWC Young Change Makers Programme, Unge og uddannelse i Europa Unge og uddannelse i Europa
2013, Københavns Universitet,250 mio. kr.,Young immigrants in need,Young immigrants in need, Kultur og samfund Andre projekter
2013, Aarhus Universitet,4 mio. kr.,Nye rammer for Statens Naturhistoriske Museum,New framework for the Natural History Museum of Denmark, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2013, Aarhus Universitet,12 mio. kr.,An analytical facility for trace elements based on inductively coupled plasma mass spectrom etry (ICP-MS),An analytical facility for trace elements based on inductively coupled plasma mass spectrom etry (ICP-MS), Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
2013, Københavns Universitet,5 mio. kr.,Analytical Transmission Electron Microscope for Advanced Materials Studies,Analytical Transmission Electron Microscope for Advanced Materials Studies, Teknisk og naturvidenskabelig forskning Teknisk og naturvidenskabelig forskning
