,Year,Reciever,Grant size (DKK),Description,Location,Receiver Proffession
4854,2014,Li Chen,DKK 500.000,Studies on the role of Complement Factor H (CFH): a novel draggable target for fat control in obesity?,"Molecular Department of Endocrinology, Odense University Hospital",Assis. Prof.
4855,2014,Liesbeth Vandenput,DKK 300.000,Regulation of systemic and tissue-specific sex steroid levels of importance for common diseases,"Department of Internal Medicine and Clinical Nutrition, Göteborg Universitet","PharmD, PhD"
4856,2014,Lotte Ørneborg Rodkjær,DKK 63.000,Helhed og Balance - Strategier til at mestre livet med hiv,"Infektionsmedicinsk afd. Q, Aarhus Universitetshospital, Skejby","Forskningssygeplejerske, MPH,PhD,Lektor"
4857,2014,Lotte Pedersen,DKK 700.000,Regulation of Hippo signalling by primary cilia and kinesin-3 motor proteins,"Department of Biology, Københavns Universitet","MSc, PhD"
4858,2014,Luis Alvarez-Vallina,DKK 2.400.000,Applying collagen-based multimerizing scaffolds for translating membrane-interacting immunosuppressive viral peptides into drug candidates,"Department of Engineering, Aarhus Universitet",Associate Professor
4859,2014,Mads Clausen,DKK 2.600.000,Sustainable Enzymatic Synthesis of Biodegradable Polymers based on Cutin Polyesters from Plants,"DTU Chemistry, Danmarks Tekniske Universitet",Professor
4860,2014,Mads Melbye,DKK 150.000,Prædiktorer for skolegang og karaktergennemsnit blandt 1000 neurokirurgisk-og konservativt behandlede patienter med kongenit hydrocephalus-et landsdækkende kohortestudie.,"Epidemiologisk Forskning, Statens Serum Institut",dr.med
4861,2014,Maiken Nedergaard,DKK 150.000,The Role of the Glymphatic System in Small Vessel Disease,"The Centre of Basic and Translational Neuroscience, Københavns Universitet","M.D., D.M.Sc."
4862,2014,MALIN FLODSTRÖM TULLBERG,DKK 800.000,The role of enterovirus encoded nonstructural proteins in pancreatic beta cell damage.,"Dept. Medicine Huddinge, Karolinska Institutet",PhD
4863,2014,Manimozhiyan Arumugam,DKK 300.000,Do the gut microbiota contribute to obesity and diabetes in leptin-resistant db/db mice? Insights and interventions.,"Faculty of Health and Medical Sciences, Københavns Universitet",Ph.D.
4864,2014,Margit Mahlapuu,DKK 500.000,Molecular mechanisms of insulin resistance in peripheral metabolic tissues,"Dept of Molecular and Clinical Medicine/Diabetes, Göteborg Universitet","PhD, Docent"
4865,2014,Maria Alvarado Kristensson,DKK 500.000,Development and pre-clinical testing of inhibitors that targets the nuclear activity of gamma-tubulin for the treatment of tumors carrying a non-functional Retinoblastoma,Division for molecular Pathology,PhD.
4866,2014,Maria Pedersen,DKK 500.000,Mekanismer bag social ulighed i deltagelse i rehabilitering efter udskrivelse med akut koronart syndrom(AKS),"H0641, Hillerød Hospital",Professionsbachelor i sygepleje. Master i Public Health (MPH)
4867,2014,Marina Vidas,DKK 90.000,Reading Jewish Bodies in Fourteenth-Century English Illuminated Manuscripts for Christian Noblewomen,"Københavns Universitet, Forskningsafd./kunsthistorie","PhD, M.A."
4868,2014,Marion Korach-André,DKK 800.000,Impact of maternal nutrition on epigenetic programming in offpring metabolism. Sex-dependent response and effects of exercise.,"Biosciences and Nutrition, Karolinska Institutet",PhD
4869,2014,Marju Orho-Melander,DKK 300.000,"Role of diet, genetic risk factors and microbiota in type 2 diabetes and cardiovascular disease","Clinical Sciences in Malmö, Lund Universitet",PhD
4870,2014,Maternity Worldwide,DKK 175.000,Støtte til Maternity Foundations arbejde med at nedsætte mødre- og spædbørnsdødelighed,NA,
4871,2014,Matthew Gillum,DKK 484.000,Developing a unique class of surfactant from human bile as a food additive,"BMI/CMBR, Univesity of Copenhagen",Assistant Professor
4872,2014,Mette Kragh,DKK 150.000,"Vågen- og lysterapi til indlagte patienter med depression - Behandlingseffekt, prædiktorer og patientoplevelse","Afd Q- Afdelingen for Depression og Angst, Afd Q, Aarhus Universitetshospital","Forskningssygeplejerske, ph.d.- studerende"
4873,2014,Mette Rosenkilde,DKK 132.000,Kortlægning af HIV's interaktion med CCR5 og CXCR4 - anvendelse af nyligt publicerede receptor krystalstrukturer og et innovativt fusionsassay,"Neuroscience and Pharmacology, Københavns Universitet","Cand.med, PhD"
4874,2014,Mia Loft,DKK 80.000,Bedre rehabilitering til indlagte patienter med apopleksi - et sygeplejeinterventions projekt.,"Apopleksienheden, Neurologisk Afdeling, Glostrup Hospital",Ph.d.studerende
4875,2014,Michael Kjær,DKK 600.000,Regulation of tendon matrix and its mechanical properties in elderly individuals: Influence of physical activity,"Department of Orthopaedic Surgery, Bispebjerg Hospital","Lægevidenskab, dr.med."
4876,2014,Mikael Rydén,DKK 500.000,A Translational Approach to Identify Novel Regulators of Insulin Sensitivity in Human Adipose Tissue,"Medicine H7, Karolinska Institutet",M.D. Ph.D.
4877,2014,Morten Charles,DKK 1.000.000,Type 2 diabetes treatment in Danish Primary Care-Are we reaching the Triple Aim?,"University of Aarhus, Section of General Practice, Department of Public Health",General Practitioner
4878,2014,Morten Foss,DKK 150.000,BioRepeller - tillægsbevilling,"Interdisciplinary Nanoscience Center (iNANO), Aarhus Universitet",
4879,2014,Morten Sommer,DKK 2.500.000,Biosensor-based genome screening platform for the production of Biosynthetic Precursors and coFactors in E. coli,"DTU Systems Biology, Danmarks Tekniske Universitet",Professor
4880,2014,Moustapha Kassem,DKK 800.000,Enhancing in vivo bone regeneration via molecular targeting of stromal (mesenchymal) stem cells,"Endocrinology, Odense Universitetshospital","cand.med., PhD, Dr Med"
4881,2014,Niels Christian Danbolt,DKK 500.000,The GABA-betaine transporter (BGT1): protection against nonalcoholic fatty liver disease,"Anatomy, Oslo Universitet",MD PhD
4882,2014,Niels Uldbjerg,DKK 150.000,Kardiovaskulære Biomarkører ved Præeklampsi Triage,"Gynækologisk Obstetrisk afd, Aarhus Universitetshospital","Læge, dr.med."
4883,2014,Niklas Björkström,DKK 5.000.000,Role for natural killer (NK) cell-mediated hepatic inflammation in progression from obesityinduced NAFLD to NASH,Karolinska Institutet,Assistant Professor
4884,2014,Nils Færgeman,DKK 800.000,Novel Regulatory Mechanisms of Ceramide Synthesis,"Department of Biochemistry and Molecular Biology, Syddansk Universitet Odense",PhD in molecular cell biology
4885,2014,Oline Vinter Olesen,DKK 500.000,Markerless tracking guided motion correction: a clinical study in MR imaging,"DTU Compute, Department of Applied Mathematics and Computer Science","PhD, MSc biomedical engineering"
4886,2014,Olle Kämpe,DKK 1.000.000,Molecular and genetic studies of organ-specific autoimmune disorders,"Dept of Medicine (Solna), Karolinska Institutet","MD, PhD"
4887,2014,Olle Korsgren,DKK 1.000.000,Elucidating the etiology of Type 1 Diabetes.,"Immunology, Genetics and Pathology, Uppsala Universitet",MD PhD
4888,2014,Olle Melander,DKK 3.000.000,"INTEGRATION OF CARDIOVASCULAR ENDOCRINOLOGY, CARDIOMETABOLIC PLASMA BIOMARKERS AND GENOMICS TO IMPROVE PREDICTION AND PRIMARY PREVENTION OF CARDIOVASCULAR DISEASE","Department of Clinical Sciences, Lund Universitet","MD, PhD, Professor"
4889,2014,Oluf Pedersen,DKK 99.000,Changes in the human gut microbiota after intake of metformin,"Section of Metabolic Genetics, Københavns Universitet","MD, DMSci"
4890,2014,Outimaija Mäkitie,DKK 300.000,Genetic causes of early-onset osteoporosis,"Pediatric Endocrinology, Helsinki Universitetshospital",MD PhD; Specialist in Pediatrics and Pediatric Endocrinology
4891,2014,Øjvind Lidegaard,DKK 1.000.000,"The impact of hormonal contraceptives on cancer risk, on survival after diagnosis of cancer, and on total mortality.","Gynækologi, Rigshospitalet",DrMSci
4892,2014,Pål Rongved,DKK 500.000,ZinChel - Combating Antibiotic Resistance - development of a new class of anti bacterial agents.,"School of Pharmacy, Medicinal Chemistry, University of Oslo",Associate Professor
4893,2014,Palle Serup,DKK 1.000.000,Control of beta cell development by Notch,"BasicStem, Københavns Universitet",Ph.D.
4894,2014,Paul Franks,DKK 3.000.000,"Lifestyle & genetic determinants of long-term, pathogenic deteriorations in diabetogenic risk profiles","Department of Clinical Sciences, Lund Universitet","PhD, MPhil, MS, BS (Hons)"
4895,2014,Per Svenningsen,DKK 600.000,Proteolytic activation of the epithelial sodium channel in human kidneys,"Kardiovaskulær og Renal Forskning, Syddansk Universitet Odense","Ph.d., cand.scient."
4896,2014,Per-Henrik Groop,DKK 300.000,Continuation of next-generation genetic studies for the discovery of rare variants associated with the development of diabetic complications with specific focus on nephropathy in type 1 diabetes (FinnDiane),"Division of Nephrology, Helsinki Universitetshospital","MD, DMSc"
4897,2014,Per-Ola Carlsson,DKK 500.000,Translation of cellular intervention strategies in type 1 diabetes,"Department of Medical Cell Biology, Uppsala Universitet","MD, PhD"
4898,2014,Pernille B. Lærkegaard Hansen,DKK 1.200.000,T-type voltage-gated calcium channels and cardiovascular disease,"Kardiovaskulær og Renal forskning, Syddansk Universitet Odense",Cand. Scient. Ph.d
4899,2014,Pernille Leth-Espensen,DKK 1.200.000,SEMI-LIVING ART: ARTISTIC INTERVENTIONS IN BIOTECHNOLOGY,Aarhus Universitet / University of Aarhus,PhD
4900,2014,Peter Lange,DKK 96.000,Effekten af fysisk træning hos patienter med kronisk obstruktiv lungesygdom (KOL),"Lungemedicinsk Sektion, Hvidovre Hospital","Speciallæge i lungemedicin, professor, dr. med."
4901,2014,Peter Refsing Andersen,DKK 3.666.707,Breaking down the rules of transcription in defense of the genome,"IMBA-Institute of Molecular Biotechnology GmbH, Vienna",Postdoc
4902,2014,Peter Rossing,DKK 60.000.000,PROTON - PeRsOnalising Treatment Of diabetic Nephropathy,Steno Research Center,MD DMSc
4903,2014,Pirjo Nuutila,DKK 3.000.000,[18F]fluoro-exendin-4 for clinical determination of pancreatic beta cell mass in health and disease,"Turku PET centre, Turku Universitet","MD, PhD"
4904,2014,Red Barnet,DKK 150.000,Støtte til Red Barnets arbejde,NA,
4905,2014,Rikke Nielsen,DKK 700.000,The endo-lysosomal axis in renal health and disease.,"Section of Anatomy, Aarhus Universitet","M.Sc., Ph.d."
4906,2014,Røde Kors,DKK 400.000,Støtte til Røde Kors' humanitære arbejde,NA,
4907,2014,Sakari Kauppinen,DKK 2.500.000,Project miRANA,"Klinisk Institut København, Aalborg Universitet","M.Sc., Ph.D."
4908,2014,Sebastian Barg,DKK 800.000,Assembly of the exocytosis machinery during biphasic insulin secretion,"Medical Cell Biology, Uppsala Universitet",PhD
4909,2014,Seunghwan Lee,DKK 300.000,Cracking the mucus gels: Nanomechanics of mucus layers for drug and functional nutrients delivery,"Department of Mechanical Engineering, Danmarks Tekniske Universitet",PhD
4910,2014,Shellie Boudreau,DKK 494.000,Epic Sense,Health Science and Technology,PhD
4911,2014,Simon Glerup,DKK 1.200.000,Regulation of PCSK9-induced LDL receptor degradation,"Biomedicine, Aarhus Universitet",PhD
4912,2014,Soldater Legatet,DKK 300.000,Videreudvikling af database samt efteruddannelse af personale,NA,
4913,2014,Søren Jacobsen,DKK 72.000,Immungenic DNA in SLE,"Rheumatology, Rigshospitalet",DMSc
4914,2014,Søren Kragh Moestrup,DKK 15.000.000,Development of 'next-generation' antibody-drug conjugates for targeting endocytic receptors in a ligand-mimicking fashion,Biomedicine,"MD, DMSci"
4915,2014,Søren Molin,DKK 1.500.000,"2014 Novo Nordisk Prisen (1 mio forskning, 0,5 mio personlig)","Novo Nordisk Foundation Center for Biosustainability, DTU",PhD
4916,2014,Steen Dalby Kristensen,DKK 5.000.000,Prevention of Thrombosis in Coronary artery Disease: Novel Mechanisms of Aspirin Treatment,"Hjertemedicinsk afd. B, Aarhus Universitetshospital","Professor, overlæge"
4917,2014,Steen Henneberg,DKK 483.605,Intranasal analgesia for painful procedures in children: A novel paediatric formulation,"Department of Anaesthesiology, Rigshospitalet","Consultant Anaesthetist, Head of Department"
4918,2014,Stefano Romeo,DKK 5.000.000,Uncovering new pathways leading to insulin resistance,Göteborg Universitet,Associate Professor
4919,2014,Steffen Husby,DKK 650.000,Early environmental exposures and risk of celiac disease. The significance of early gut colonization.,"H.C. Andersen Børnehospital, Odense Universitetshospital","M.D., DMSc."
4920,2014,Sten Henneberg,DKK 200.000,Intranasal analgesia for painful procedures in children: A novel paediatric formulation (Tillægsbevilling),"Juliane Marie Centre, Rigshospitalet",Klinikchef
4921,2014,Stephan Pless,DKK 550.000,Novel approaches to target the molecular basis for pain,"Department of Drug Design and Pharmacology, Københavns Universitet",PhD
4922,2014,Sune Justesen,DKK 2.350.000,Immunitrack,"Biologisk Institut, Københavns Universitet","PhD, MS Chem Eng"
4923,2014,Susanne Dam Poulsen,DKK 900.000,The Copenhagen Co-morbidity in HIV (COCOMO HIV) Study,"Infektionsmedicin M8632, Rigshospitalet","Læge, dr.med."
4924,2014,Susanne Krüger Kjær,DKK 1.400.000,IMPROVING SURVIVAL OF OVARIAN CANCER. DNA from routine cervical cytology samples - the value in early detection of ovarian cancer,"Department of Gynecology, Rigshospitalet","MD, DMSci."
4925,2014,Susanne Winther Sørensen,DKK 167.240,Patientovergange mellem intensive- og stamafdelinger,"Det humanistiske fakultet, Almen Intensiv afsnit, Klinik Anæstesi, Aalborg Universitetshospital",PhD studerende
4926,2014,Sven Enerbäck,DKK 3.000.000,Human brown adipose tissue,"Dpt of Biomedicine, Göteborg Universitet",M.D. Ph.D.
4927,2014,Tamas L. Horvath,DKK 40.000.000,Hypothalamic hunger-promoting neurons control integrative physiology,"Faculty of Health and Medical Sciences, University of Copenhagen","D.V.M., Ph.D."
4928,2014,Tandsundhed uden Grænser,DKK 75.000,Dental nædhjælp og forebyggelse i udviklingslande,NA,
4929,2014,Tero Järvinen,DKK 500.000,"Generation of systemically administered, safe, targeted growth factors to accelerate wound healing in diabetes","Medical School, University of Tampere",Professor & Chief Surgeon
4930,2014,Thomas Holm Pedersen,DKK 400.000,"Role of voltage gated Na+ channels in the ""warm-up"" phenomenon in myotonic muscle","Department of Biomedicine, Aarhus Universitet","Biologist, Cand Scient, PhD"
4931,2014,Thomas Holm Pedersen,DKK 2.480.000,Myasthenia Gravis CIC-1 Inbibitor Project,"Department of Biomedicine, Aarhus Universitet","Biologist, Cand Scient, PhD"
4932,2014,Thomas Jensen,DKK 300.000,Omics-based dissection of muscle protein trafficking,"Nutrition, Exercise and Sports, Københavns Universitet",PhD
4933,2014,Thomas Lars Andresen,DKK 2.500.000,MonTa Biosciences,"Colloids and Biological Interfaces, DTU",phd
4934,2014,Thomas Solomon,DKK 300.000,Islet glucotoxicity prevents exercise-mediated improvements in pancreatic beta-cell function in type 2 diabetes,"Department of Biomedical Sciences, Københavns Universitet",PhD
4935,2014,Thomas Solomon,DKK 108.000,Reducing beta-cell inflammation improves exercise-mediated benefits on glycaemic control in patients with type 2 diabetes,"Department of Biomedical Sciences, Københavns Universitet",PhD
4936,2014,Thomas Solomon,DKK 425.000,Beta-aminoisobutyrate: a skeletal muscle-derived metabolite that regulates pancreatic beta-cell insulin secretory function,"Department of Biomedical Sciences, Københavns Universitet",PhD
4937,2014,Thue W. Schwartz,DKK 700.000,Understadning the Enteroendocrine System at the Single Cell Level - as the Basis for Novel Treatments of Diabetes anbd Obesity,"Section for Metabolic Receptology and Enteroendocrinology, Københavns Universitet",MD DMSc
4938,2014,Thue W. Schwartz,DKK 59.700.000,Novel Receptor Targets in the Prevention and Treatment of Diabetes and Obesity,Department of Neurosceince and Pharmacology,MD DMSc
4939,2014,Tibor Harkany,DKK 800.000,Novel cell identities and mechanisms of intercellular signaling underpinning hormone secretion in the hypophysis,"Division of Molecular Neurobiology, Karolinska Institutet",PhD
4940,2014,Timo Otonkoski,DKK 500.000,Modelling of monogenic diabetes through iPS cells,"Biomedicum Stem Cell Center, Helsingfors universitet","MD, PhD"
4941,2014,Timo Otonkoski,DKK 50.000,"Gave the prize lecture ""New approaches for the generation and regeneration of human beta cells"" in Uppsala",University of Helsinki,Professor
4942,2014,Tine Brink Henriksen,DKK 300.000,Pregnancy outcome after prenatal exposure to antidepressants,"Perinatal Forskningsenhed, Børneafdeling A, Aarhus Universitetshospital","Speciallæge i pædiatri, phd"
4943,2014,Torbenh Hansen,DKK 2.100.000,The role of TBC1D4 in exercise- and insulin-induced glucose metabolism and in post exercise- induced insulin sensitivity in human skeletal muscle,"The Novo Nordisk Foundation Center for Basic Metabolic Research, Københavns Universitet","MD, PhD"
4944,2014,Torsten Lauritzen,DKK 250.000,,Aarhus Universitet,"Praktiserende læge, professor, dr. med."
4945,2014,Tove Agner,DKK 700.000,Antimikrobielle peptider (AMP) og hudens mikrobiom ved atopisk eksem,"Dermatologisk afd D, Bispebjerg Hospital","cand. med., dr.med., professor"
4946,2014,Trine Mogensen,DKK 148.000,Epidemiology of Herpes Encepahlitis in Denmark,"Infectious Diseases, Aarhus Universitetshospital","MD, PhD, DMSc"
4947,2014,Troels Staehelin Jensen,DKK 59.573.837,International Diabetic Neuropathy Consortium,Neurology,"MD, DMSc"
4948,2014,Troels Wienecke,DKK 800.000,CLOGIS - CLOpidogrel response and CYP2C19 Genotype in Ischemic Stroke patients,"Neurologisk Afdeling, Roskilde Sygehus, Roskilde Sygehus",Ph.d
4949,2014,Uffe Holmskov,DKK 540.000,The role of FIBCD1 in the development of asthma and inflammatory bowel disease,"Cancer og Inflammations Forskning, Syddansk Universitet Odense","Cand. med., ph.d., dr. med."
4950,2014,Uffe Mortensen,DKK 2.500.000,Synthetic chromosomes for enzyme production and pathway engineering in filamentous fungi,"DTU Systems Biology, Danmarks Tekniske Universitet",Professor
4951,2014,Ulf Ahlgren,DKK 300.000,In vivo targeting of endogenous Beta-cells by novel enabling technologies,"Umeå Center for Molecular Medicine, Umeå Universitet",PhD
4952,2014,Ulf Smith,DKK 800.000,Insulin resistance and Type 2 diabetes - novel mechanisms and biomarkers,"The Lundberg Laboratory for Diabetes Research, Göteborg Universitet","MD, PhD"
4953,2014,Ulla Feldt-Rasmussen,DKK 100.000,Samspil mellem thyroidea autoimmunitet og hormonforstyrrende stoffer,"Medicinsk Endokrinolgisk Klinik, PE2131, Rigshospitalet","Professor, overlæge dr. med."
4954,2014,Ulrik Gether,DKK 1.000.000,Missense mutationer i BAR-domæne proteinet PICK1: En ny genetisk risikofaktor for udvikling af type 2 diabetes?,"Laboratoriet for Molekylær Neurofarmakologi og Genetik, Københavns Universitet","cand. med., dr. med."
4955,2014,Ulrike Muscha Steckelings,DKK 131.350,Impact of angiotensin AT2-receptor stimulation on diabetic vasculopathy,"Dept. of Cardiovascular and Renal Research, Syddansk Universitet Odense","MD, Dr. med."
4956,2014,UNICEF Danmark,DKK 300.000,Støtte til UNICEFs arbejde for børns overlevelse,NA,
4957,2014,Vibeke Hjortdal,DKK 400.000,The mechanism of calcium channel blocker oedema,"Hjertelungekirurgisk, Aarhus Universitetshospital","cand med, dr med, PhD, Professor."
4958,2014,Videnskabernes Selskab,DKK 500.000,Nobel Laureate Lectures 2014,NA,
4959,2014,Ville Hietakangas,DKK 300.000,Genome-wide in vivo analysis of dietary sugar-regulated transcriptional network,"Department of Biosciences, Helsingfors universitet","PhD, docent"
4960,2014,Vladimir Matchkov,DKK 500.000,"The NA,K-ATPase dependent signaling pathway is associated with vascular abnormalities.","Health, Aarhus Universitet","Ph.d, DMSc (Dr.med)"
4961,2014,Winnie E. Svendsen,DKK 390.626,Impedance flow cytometry for real-time detection of bacteria in drinking and process water,"DTU Nanotech, Technical Unicersity of Denmark",Associate Prof.
4962,2014,Wolfgang Peti,DKK 11.000.000,Novel insights into insulin signaling and regulation using structural biology,"Department of Biology, Københavns Universitet",Associate Professor
4963,2014,Yihai Cao,DKK 10.000.000,"Modulation of Adipose Angiogenesis: A New Concept of Treatment of Obesity, Diabetes and other Metabolic Disease","Microbiology, Tumor- and Cellbiology, Karolinska Instituttet","M.D, Ph.D"
4964,2014,Zachary Gerhart-Hines,DKK 500.000,Control of Brown Adipose Energy Expenditure by the Circadian Mitochondrial Transporter MOC1,"Department of Neuroscience and Pharmacology, Københavns Universitet",Ph.D.
4965,2014,Zoltan Szallasi,DKK 487.802,Finalizing the exploratory assessment of a widely applicable predictor of platinum response in human cancer before commercialization,"Systems Biology, Center for Biological Sequence Analysis, Technical Unicersity of Denmark",Professor
4966,2013,Aarhus Universitet,DKK 1.000.000,"Biologiolympiade 2015, Aarhus",NA,
4967,2013,Aase Handberg,DKK 300.000,Microparticles and Complications related to Obesity (MiCrO),Aalborg Sygehus,"Chief Physician, Associate Professor"
4968,2013,Aleksander Giwercman,DKK 250.000,"Hypogonadism in young men as risk factor for osteoporosis, metabolic syndrome and",Reproductive Medicine Centre,Chairman of the clinic
4969,2013,Alex Toftgaard Nielsen,DKK 2.100.000,Production of biochemicals from gasified biomass using thermophilic fermentation,"Center for Biosustainability, Danmarks Tekniske Universitet","Professor, MSA"
4970,2013,Alexander Chibalin,DKK 500.000,"Role of Phospholemman (PLM, FXYD1) in Energy Metabolism: Implications for Type 2 Diabetes.","Molecular Medicine and Surgery, Karolinska Institutet",Senior Research Scientist
4971,2013,Allan Randrup Thomsen,DKK 600.000,Virus-induceret inflammation: initiering og regulering,Københavns Universitet,Professor
4972,2013,Allan Vaag,DKK 500.000,Subcutaneous adipose tissue expandability and ex vivo preadipocyte functions in low birth weight individuals - impact of a 6 weeks carbohydrate overfeeding challenge,"Dept. of Endocrinology (Diabetes and Metabolism), Rigshospitalet",Professor
4973,2013,Anders Juul,DKK 500.000,Development of novel molecular and imaging tools for management of testicular adrenal rest tumours in patients with congenital adrenal hyperplasia,"Vækst og Reproduktion, Rigshospitalet","professor, klinikchef"
4974,2013,Anders Molven,DKK 250.000,The SCHAD protein - A novel regulator of insulin secretion and body weight,"Dept of Clinical Medicine, Universitetet i Bergen",Professor
4975,2013,Anders Tengholm,DKK 500.000,Second messenger interplay in pancreatic beta- and alpha-cell stimulus-secretion coupling,"Medical Cell Biology, Uppsala Universitet",Associate Professor
4976,2013,Andreas Kjaer,DKK 1.400.000,Molekylær billeddannelse med PET til ikke-invasiv tumor karakteristik og skræddersyet kræftbehandling: translationelle studier.,Københavns Universitet,"Professor, overlæge, dr.med."
4977,2013,Ane Hejlskov Larsen,DKK 80.000,"Cybermuseologi - kunst, museer og formidling i et digitalt perspektiv",Aarhus Universitet,"Lektor, mag.art."
4978,2013,Angelica L Hirschberg,DKK 250.000,Using protein preload for glycaemic and weight control in women with polycystic ovary syndrome,"Women's and Children's Health, Karolinska Institutet",professor
4979,2013,Anja Tatiana Ramsted Jensen,DKK 600.000,Karakterisering af et ICAM-1 bindende peptid motiv (PEPA) associeret med udvikling af hjernemalaria.,Københavns Universitet,Professor (MSO)
4980,2013,Anna Kristine Waldemar,DKK 52.000,Organizational barriers to the implementation of a recovery-oriented practice in psychiatric inpatient units,Københavns Universitet / University of Copenhagen,Ph.d.-studerende
4981,2013,Anna Krook,DKK 800.000,Regulation of skeletal muscle insulin sensitivity,"Physiology and Pharmacology, Karolinska Institutet",Professor
4982,2013,Anne Grapin-Botton,DKK 800.000,EXPLORATION OF BICC1 AS A NEW MATURITY ONSET DIABETES OF THE YOUNG GENE,"Sund-DanStem, Københavns Universitet",Professor
4983,2013,Anne Gregersen,DKK 80.000,Café Dolly,Københavns Universitet,"Ph.d. stipendiat, cand. mag"
4984,2013,Anne Ring Petersen,DKK 80.000,Udgivelse af bog om dansk og international installationskunst på engelsk,Københavns Universitet,"Lektor, mag.art., ph.d., dr. phil."
4985,2013,Anne Sophie Mathiesen,DKK 500.000,Udvikling af et internetbaseret værktøj til Type 2 Diabetes Patienter med henblik på bedring af egenomsorgen,Rigshospitalet / Copenhagen University Hospital,Klinisk Sygeplejespecialist
4986,2013,Annette Mollerup,DKK 500.000,Håndeksem - optimerede tværsektorielle forløb og patientempowerment gennem nye pædagogiske vejledningsformer,Gentofte Hospital / Gentofte Hospital,Ph.d.-studerende
4987,2013,Basem Abdallah,DKK 500.000,Studying the therapeutic potential of NVX neutralizing antibody on enhancing bone formation: a novel non-traditional drug for osteoporosis.,"Molecular Endocrinology/ University of Southern Denmark, Odense",Associate Professor
4988,2013,Basem Abdallah,DKK 250.000,Targeting the inhibition of Dlk1/FA1 using antibody-based strategy as a potential treatment for osteoporosis.,"Molecular Endocrinology, Syddansk Universitet Odense",Associate Professor
4989,2013,Bente Vestergaard,DKK 1.000.000,Structural studies of the molecular aspects behind Alzheimer's and Parkinson's diseases,Københavns Universitet,Lektor/Associate Professor
4990,2013,Birgitta Knudsen,DKK 345.000,Nyt princip for lavteknologisk hurtig-test af tuberkulose baseret på måling af topoisomerase I enzym aktivitet,Aarhus Universitet,Lektor
4991,2013,Birthe B. Kragelund,DKK 150.000,Mechanisms for trans-membrane signaling in the growth hormone receptor,"Strukturel Biologi og NMR Labroatoriet, Københavns Universitet","Lektor, leder af SBiNLab"
4992,2013,Bjørn Richelsen,DKK 1.050.000,"Helbredskonsekvenser af bariatrisk kirugi med speciel fokus på medicinske og ernæringsmæssige komplikationer - baseret på et registerstudie, en spørgeskemaundersøgelse og en klinisk efterundersøgelse",Aarhus Universitetshospital,"Overlæge, Professor"
4993,2013,Bo Angelin,DKK 800.000,Unraveling monogenic hyperlipidemias by whole genome sequencing in rare metabolic phenotypes: a key to novel diagnostics and treatment for the common population,Department of Endocrinology,Professor
4994,2013,Boye Lagerbon Jensen,DKK 340.000,Betydning af urin-proteaseaktivitet for hypertension og ødem ved sygdomme med proteinuri,Syddansk Universitet Odense,"Forskningsleder, Professor"
4995,2013,Børns Vilkår,DKK 40.000,Børns Vilkårs rådgivning 2013,NA,
4996,2013,Brage Andresen,DKK 1.300.000,Pseudoexon activation an underreported disease mechanism with a unique potential for targeted intervention,Syddansk Universitet Odense,Professor
4997,2013,Brice Emanuelli,DKK 250.000,Specificity of the signal transduction networks mediated by the IRS proteins.,"Faculty of Health Sciences, Københavns Universitet",Assistant Professor
4998,2013,Bryndis Birnir,DKK 300.000,The relevance of GABA signalling for hormone secretion in the pancreatic islets.,"Physiology, Uppsala Universitet",Professor
4999,2013,CARE Danmark,DKK 350.000,Alle mennesker på kloden har ret til mad,NA,
5000,2013,Carsten Daub,DKK 300.000,Molecular basis of in vivo insulin resistance in human adipose tissue,"Biosciences and Nutrition, Karolinska Institutet",Assistant Professor
5001,2013,cesare patrone,DKK 250.000,GLUCAGON-LIKE PEPTIDE 1 ACTIVATION AGAINST STROKE IN DIABETES: FROM THE PRECLINICAL TO THE CLINICAL PHASE,Karolinska Institutet,Senior Scientist
5002,2013,Christian Benedict,DKK 500.000,The Influence of Sleep Deprivation on Metabolic Control in Humans: From Behavior to Genes.,"Neuroscience, Uppsala Universitet",Researcher
5003,2013,Christian Damgaard,DKK 350.000,Circular RNA-mediated regulation of translation and miRNA function in neuronal disease,Aarhus Universitet,Associate Professor
5004,2013,Christina Christoffersen,DKK 5.000.000,"Fat tissue, fat metabolism and neuropathy in diabetes","Klinisk Biokemisk Afdeling, Rigshospitalet","MD, PhD"
5005,2013,Christine Finnie,DKK 2.600.000,Fast-track screening for increasing secretory capacity and protein yield in barley grains,"Department of Systems Biology, Danmarks Tekniske Universitet",Associate Professor
5006,2013,Claes Ohlsson,DKK 1.500.000,Identification of Novel Fracture Targets,"Internal Medicine and Clinical Nutrition/Sahlgrenska University Hospital, Göteborg Universitet",Professor/Överläkare
5007,2013,Claus Henrik Nielsen,DKK 500.000,Monoclonal antibodies inhibiting citrullination of proteins in rheumatoid arthritis: A novel approach upstream for existing therapies,Clinic for Infectious Diseases and Rheumatology / Copenhagen University Hospital,"Consultant physician, associate professor"
5008,2013,Claus Højbjerg Gravholt,DKK 2.500.000,,"Medicinsk Endokrinologisk afd., Aarhus Universitetshospital","Overlæge, ph.d., dr.med"
5009,2013,Claus Højbjerg Gravholt,DKK 250.000,Sex chromosome disorders - clinical care to genetics,"Department of endocrinology and Department of molecular medicine, Aarhus University Hospital, Aarhus Universitet",Consultant doctor
