,Year,Reciever and Title,Grant size (DKK),Description,Project Category
515,2019,Kronprinsparrets Priser 2018,180.000 kr.,"Med Kronprinsparrets Priser sætter vi fokus på fremragende præstationer, nytænkning og høj kvalitet inden for kunst og kultur og socialt arbejde. Prismodtagerne udpeges af Kronprinsparret efter indstilling fra to rådgivende komitéer, der har ekspertise inden for enten kultur- og kunstområdet eller socialt arbejde.",Andre formål
516,2019,Sincera – eHood,270.300 kr.,"Med gaming og e-sport som løftestang for forandring er det formålet at hjælpe udsatte unge i alderen 13-19 år med at komme i uddannelse eller job. Det gøres igennem tre helt eller delvist parallelle indsatser; gaming, undervisning og mentorforløb.",Unge på kanten
517,2019,Betty Nansen Teatret – Udvikling af kollektive kunstneriske praksisser,8.305.564 kr.,"Betty Nansen Teatret modtager støtte til at igangsætte en langvarig udviklingsindsats, som vil udforske de kollektive kunstneriske arbejdsmetoder og skabe en ny kunstnerisk praksis forankret på teatret. Teser og koncepter bliver udviklet og afprøvet med alle medskabende kunstnere, inden projekterne går ind i en realiseringsfase. Med dokumentation af de kunstneriske, kollektive arbejdsmetoder, kan teatret tilbyde læring og vidensdeling med både studerende og professionelle fagfolk inden for scenekunsten.",Aktuel kunst
518,2019,Aktivitet på Folkemødet 2019,80.000 kr.,Debat med fokus på hjemløshed blandt unge afviklet i samarbejde mellem Hjem til alle Alliancen og Bikubenfonden.,Unge på kanten
519,2019,Udstillingsprisen Vision 2020,5.410.000 kr.,"Udstillingsprisen Vision har til formål at fremme udviklingen af nytænkende formidling af billedkunst og præmiere et visionært koncept i stedet for en overstået succes. Bevillingen bidrage med op til fem mio. kr. til realisering af vinderideen, samt støtte til udvikling af ideer for 3-5 ansøgere samt kommunikation og honorering af jury.",Aktuel kunst
520,2019,Kunsthal Charlottenborg – Charlottenborgs Kaffeklub,160.000 kr.,"Charlottenborgs Kaffeklub er stedet, hvor den politiske verden møder kunstmiljøet til en kop kaffe og en åben samtale om visionerne for fremtidens kulturpolitik og kunstneriske dannelse. Charlottenborgs Kaffeklub samles fire gange om året og har som mål at styrke udbredelsen af kunsten i Danmark og skabe forståelse for kunstens betydning for mennesker og samfundet.",Aktuel kunst
521,2019,Bikubenfondens socialområde 2019 – evalueringsramme for tre koncepter,1.200.000 kr.,"I ansøgningsrunden Unge på kanten uden job og uddannelse er 3 koncepter blevet udvalgt. De tre koncepter indeholder hver især et oplæg til evaluering, men derudover vil der være områder, hvor der er væsentlige fællesnævnere mellem koncepterne. Formålet med denne bevilling er derfor at sikre en tæt opfølgning på indsatserne, samt læring på tværs af de igangsatte indsatser, som på sigt kan gavne det enkelte koncept, samt det sociale felt. Der er to tværgående temaer, hvor det er relevant at sikre sammenhæng og vidensdeling mellem koncepterne: Videndeling og kapacitetsopbygning i forhold til at måle progression i livsmestring hos målgruppen samt vurdering af relevansen og betydningen af ungedeltagelse i udviklingen af koncepterne.",Unge på kanten
522,2018,Program for Bora Bora Residency Centre 2018-22,3.100.000 kr.,I sæsonerne 2018-22 vil Bora Bora Residency Centre (BBRC) producere 35 skræddersyede residencies for koreografer eller teaterfolk med en markant koreografisk idé. Halvdelen af kunstnerne skal være danske. I årene 2019-22 produceres desuden tre ambitiøse co-produktioner med frie danske koreografer.,Aktuel kunst
523,2018,UKK – Unge Kunstnere og Kunstformidlere – MOURNING MONEY FOR WHICH VALUE,216.000 kr.,"Bikubenfonden støtter UKK – Unge Kunstnere og Kunstformidlere med midler til at afholde tre heldags-symposier 'MOURNING MONEY FOR WHICH VALUE', som skal afholdes i 2018-19. Formålet er at videreudvikle UKKs fokus på kunstneres og kuratorers arbejdsvilkår og at belyse en markant tendens i vores samtid. Symposierne skal være gratis og åbne for offentligheden. UKK har modtaget midler til symposierne ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
524,2018,AKT1 – Fra dette nulpunkt – en scenisk eksplosion af lyd,200.000 kr.,"Bikubenfonden støtter AKT1 og forestillingen 'Fra dette nulpunkt – en scenisk eksplosion af lyd' med midler til realisering af en science-fiction-monolog af digter Ursula Andkjær Olsen. Monologen opføres af skuespiller Ellen Hillingsø og er instrueret af Niels Erling. Ambitionen er at skabe en original iscenesættelse af ny poetisk, dramatisk tekst med fokus på udvikling af nye teknologiske muligheder inden for det auditive teater. AKT1 har modtaget midler til forestillingen ved at ansøge i forbindelse med ansøgningsrunden på scenekunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.",Aktuel kunst
525,2018,Sidsel Meineche Hansen – Lay-figure theatre,200.000 kr.,"Bikubenfonden støtter Kunsthal Aarhus og udstillingen 'Lay-figure theatre' af Sidsel Meineche Hansen (f. 1981). Udstilingen består af 15 håndlavede trædukker i menneskestørrelse med mobile arme og ben. Dukkerne skal indgå i en scenografi, og iscenesættes af otte kunstnere og musikere, der laver musik og skriver teaterstykker til dem. Kunsthal Aarhus har modtaget midler til udstillingen ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
526,2018,LOCATION X – COVER,100.000 kr.,"Bikubenfonden støtter LOCATION X med midler til den sidste arbejdsperiode, premiere og de første forestillinger i Danmark af den tværfaglige moderne danseforestilling 'COVER'. LOCATION X har modtaget midler til danseforestillingen ved at ansøge i forbindelse med ansøgningsrunden på danse- og performanceområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
527,2018,KUNST:form – IMAGINARIUM,288.000 kr.,"Bikubenfonden støtter KUNST:form og udstillingen 'IMAGINARIUM'. 'IMAGINARIUM' lægger grunden for et 360˚ univers for børn og unge, som involverer og giver dem reel indflydelse i kunstens rum. Formålet er at udvikle rammer og metoder for et tværinstitutionelt samarbejde og en udvidet praksis for kunstnere og kunstinstitutioner, der omfatter samskabende processer. KUNST:form har modtaget midler til udstillingen ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
528,2018,Rønnebæksholm – En kort historie om abstraktion,85.000 kr.,"Bikubenfonden støtter Rønnebæksholm og udstillingen 'En kort historie om abstraktion'. Med udstillingen revitaliseres et klassisk kunsthistorisk udstillingsformat – en ny fortælling om abstraktionens historie og potentiale udfoldes ved at vise værker og fremdrage sammenhænge, der ikke tidligere har været åbenlyse i en skandinavisk kontekst. Rønnebæksholm har modtaget midler til udstillingen ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
529,2018,Third Ear Productions – Carl Ottos Hovedsamling,295.000 kr.,"Bikubenfonden støtter podcasten Third Ear og forestillingen 'Carl Ottos Hovedsamling'. Projektet er et eksperiment, som skal afsøge og afprøve et hybridformat, som blander scenekunst og Third Ears podcast, og dermed udfordrer grænserne mellem de to kunstarter. Third Ear har modtaget midler til forestillingen ved at ansøge i forbindelse med ansøgningsrunden på scenekunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.",Aktuel kunst
530,2018,Daily Fiction – Nature's Calling,80.000 kr.,"Bikubenfonden støtter Daily Fiction og forestillingen 'Nature's Calling'. Daily Fiction vil skabe mulighed for at åbne en sanselig og poetisk forankring i hverdagen, og diskutere hvad smartphones gør ved os og hvordan vi kan navigere i dette nye felt. Forestillingen skabes i dialog med studerende og undervisere ved KU, KEA, UCC og CBS, samt i udveksling med branche og offentlighed via Vlogging (video-log) og åbne visninger. Daily Fiction har modtaget midler til forestillingen ved at ansøge i forbindelse med ansøgningsrunden på scenekunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.  ",Aktuel kunst
531,2018,Dansehallerne – Danske Dansehistorier,175.000 kr.,"Bikubenfonden støtter DANSEatelier og initiativet 'Danske Dansehistorier', som er et kunstnerdrevet initiativ, der igennem to nedslag vil udfolde den danske dansehistorie: dens fortid, nutid og fremtid. Med fokus på vidensdeling og fællesskab, vil initiativet styrke den kunstneriske udvikling, samt generere en dybere forankring og medejerskab i dansk dans' fremtid. DANSEatelier har modtaget midler ved at ansøge i forbindelse med ansøgningsrunden på danse- og performanceområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.  ",Aktuel kunst
532,2018,David T – Pigeon Superstition,150.000 kr.,"Bikubenfonden støtter David T og performancen 'Pigeon Superstition'. Her skal trylleri, koreografi, lydkunst og ruminstallation forenes i en performance om fanatisk hakkende forsøgsduers ligheder med mennesket i en digital tidsalder. DAavid T har modtaget midler ved at ansøge i forbindelse med ansøgningsrunden på danse- og performanceområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
533,2018,Kristján Ingimarsson Company – ROOM 4.1,150.000 kr.,"Bikubenfonden støtter Kristján Ingimarsson Company (KIC) og 'ROOM 4.1' (Room-for-one). KIC vil skabe en fortælling, der møder sit publikum online i form af en serie af videoer (webisodes). Det er et helt nyt format, der griber de digitale tendenser og forener det med performance og scenekunst af høj kvalitet. KIC har modtaget midler ved at ansøge i forbindelse med ansøgningsrunden på danse- og performanceområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
534,2018,Sew Flunk Fury Wit – The Fox Cave Developmentproject 2018,300.000 kr.,"Bikubenfonden støtter Sew Flunk Fury Wit og forestillingen 'The Fox Cave Developementproject 2018'. Her vil Sew Flunk Fury Wit gennem samarbejder med danske specialister og japanske kunstnere undersøge, hvordan vi skaber en stærk sansefortættet teateroplevelse. Sew Flunk Fury Wit har modtaget midler til forestillingen ved at ansøge i forbindelse med ansøgningsrunden på scenekunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.",Aktuel kunst
535,2018,Off Off/Produktion – CoryDONG,290.000 kr.,"Bikubenfonden støtter Off Off/Produktion og forestillingen 'CoryDONG' med midler til udvikling af et scenekunstnerisk format, der ligevægter dokumentarismens brug af fakta og research med dramatikkens ret til tolkning. I denne forestilling er målet at løfte en række ubesvarede spørgsmål ud til publikum omkring baggrund og hændelsesforløb vedrørende salget af DONGs aktier. Off Off/Produktion har modtaget midler til forestillingen ved at ansøge i forbindelse med ansøgningsrunden på scenekunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.",Aktuel kunst
536,2018,Museum Jorn – LER!,294.994 kr.,"Bikubenfonden støtter Museum Jorn og udstillingen 'LER!'. I udstillingen vil ni internationalt anerkendte samtidskunstnere udfordre publikum med eksperimenterende værker i ler. Flere af kunstnerne arbejder med performance, og de vil også udføre performances i udstillingen, eller inddrage publikums handlinger og interaktion som en performativ del af værket. Dermed bliver den besøgende en aktiv deltager i udstillingen. Museum Jorn har modtaget midler til udstillingen ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.",Aktuel kunst
537,2018,Uppercut Danseteater – JUMP – Researchforløb med international udveksling,130.738 kr.,"Bikubenfonden støtter Uppercut Danseteater researchforløbet 'JUMP – Researchforløb med international udveksling'. Uppercut Danseteater ønsker at lave et forløb sammen med koerograf Ofir Yudilevitch forud for co-produktionen 'JUMP'. I forestillingen indgår et AirFloor, som kræver, at særlige teknikker udvikles. Resultatet bliver en forestilling, der udfordrer og skubber til kunsten, kunstnerne og publikum. Uppercut Danseteater har modtaget midler til researchforløbet ved at ansøge i forbindelse med ansøgningsrunden på danse- og performanceområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018. ",Aktuel kunst
538,2018,Diakron – Primer,125.000 kr.,"Bikubenfonden støtter Diakron og udviklingsplatformen 'Primer', som er en platform for kunstnerisk og organisatorisk udvikling. Den har til huse hos Aquaporin – et biotek start-up, der udvikler vandrensningsteknologier. 'Primer' udforsker potentialerne ved at forny relationerne mellem billedkunstneriske, teknologiske og videnskabelige praksisser. Sammen med billedkunstnere vil de udvikle en dialog med medarbejdere fra Aquaporin om forskning, teknologi, hverdag og historie i konteksten, og derpå udvikle en offentlig udstilling i fabrikken. Diakron har modtaget midler til udstillingen ved at ansøge i forbindelse med ansøgningsrunden på billedkunstområdet den 1-14. december 2017. Næste ansøgningsrunde er den 1-8. juni 2018.     ",Aktuel kunst
539,2018,Teater V – John Lennon er død,80.000 kr.,"Sophie Zinckernagel har skrevet et stykke ny dramatik, John Lennon er død. Vises på Teater V og er et syretrip i en stripklubversion af skærsilden. Her har John Lennon siddet siden d. 8. december 1980 på sin faste barstol, hvor den ældre stripper/barklubmutter Little Asian Angel holder ham rigeligt forsynet med whiskyshots.",Aktuel kunst
540,2018,Hjem til Alle alliancen og Nordic Development Corporation,300.000 kr.,"Formålet med bevillingen har været at undersøge potentialet for at arbejde med sociale investeringer sammen i forhold til en indsats for hjemløses unge, der handler om at finde en bolig kombineret med social støtte og adgang til positive fællesskaber.",Unge på kanten
541,2018,Impostor Production – RASA - en forestilling om at forsvinde,290.000 kr.,"RASA er et samarbejde mellem danser og performance-designer Ea Verdoner og billedkunstner Alexander Tovborg, samt vokalist Cæcilie Trier og komponist August Rosenbaum. Hensigten er udvikling af et scenekunstnerisk format, der sammensmelter performancekunstens fysiske nærvær med billedkunstens skulpturelle tingslighed.",Aktuel kunst
542,2018,two-women-machine-show – Of All its Parts,250.000 kr.,"En kaleidoskopisk koreografisk undersøgelse af menneskets evne til glimtvis at forestille sig det endnu ikke eksisterende. Of All Its Parts skabes som flere mindre værker på forskellige residencies og præsenteres løbende for publikum, inden de samles i én koreografi.",Aktuel kunst
543,2018,Teatret KrisKat – B-Bumm,233.500 kr.,"Teatret KrisKat udforsker grænselandet mellem installation, performance og kunstnerisk legeland for de allermindste børn ( 0- 3 år ) og undersøger hjertet som fysisk organ, dets funktion, form, farve og puls.",Aktuel kunst
544,2018,Teaterensemblet Flyvende Grise – The Robot Project,200.000 kr.,"The Robot Project (TRP) er interaktiv robot-menneske-performance og performance-lecture med og om robotter og AI. Flyvende Grise samarbejder i indsatsen med: Aalborg Teater, Stages of Science, Center for Subjektivitetsforskning, Institut for Medier, Erkendelse og Formidling ved Københavns Universitet, Københavns Universitet, Art and Technology Aalborg Universitet, AALBORG U ROBOTICS, IT-Universitetet og Udviklingsplatformen for Scenekunst.",Aktuel kunst
545,2018,Sir Grand Lear – The Compassion Fatigue,150.000 kr.,"THE COMPASSION FATIGUE er en teatralsk undersøgelse af en folkesygdom. Sir Grand Lear, Morten Grimbäck og Torben Sangild tilknyttes Teater Republique med formålet at foretage en iscenesat forskning i et samfund uden empati, gennem projektets fiktive case-story og hovedperson, Anne H. Nielsen.",Aktuel kunst
546,2018,Thorvaldsens Museum – THIS MOMENT Is The Beginning,300.000 kr.,"Kunstnergruppen Hesselholdt og Mejlvang udstiller på Thorvaldsens Museum og vækker en dristig aktion fra 1848 til live. Inde i bygningen vil performances og nye installationer forbinde Thorvaldsens værk og politiske samtid (klassekamp, internationalisme og folkemagt) med debatter om det multikulturelle.",Aktuel kunst
547,2018,Iscene – Skriveværksted for kulturjournalister,72.000 kr.,"ISCENE og X-act skaber et skriveværksted med fokus på fysisk teater, ny-cirkus, dans og performance for at sikre, at der er fagkompetente skribenter til at formidle og styrke synligheden af genren igennem en kulturbruger-målrettet formidling.",Aktuel kunst
548,2018,Art Hub Copenhagen,1.050.000 kr.,Test,Aktuel kunst
549,2018,Ribe Kunstmuseum – QZ – Queer Zahrtmann,300.000 kr.,"Udstillingen QZ - Queering Zahrtmann kaster et helt nyt blik på Kristian Zahrtmanns kunst. Udstilling, undervisning og formidling har fokus på identitet, køn og seksualitet og har til hensigt at nå unge mennesker, minoriteter og ikke-brugere.",Aktuel kunst
550,2018,Teater Momentum – Selvtægt,60.000 kr.,"Teaer Momentum har modtaget støtte til dokumentarisk research og produktionsstøtte på forestillingen Selvtægt om nedbrændingen af en svensk skolebygning, der var omdannet til asylcenter i den lille flække Ljungby.",Aktuel kunst
551,2018,Teater Momentum – 16:29,75.000 kr.,"Momentum modtager støtte til dokumentarisk research og produktionsstøtte på forestillingen 16:29 om den franske, 17-årige pige Océane fra Egly, som blev den første, der livetransmitterede sit eget selvmord på det sociale medie Periscope, da hun sprang ud foran et tog den 10. maj 2016, kl. 16:29.",Aktuel kunst
552,2018,Teater Grob – Ny scenekunstnerisk proces- og metodeudvikling,100.000 kr.,"Arbejdsfællesskabet Sådan danser vi altså ikke her og Teater Grob modtager støtte til udvikling af en ny scenekunstnerisk proces, hvor et emne bliver undersøgt fra så mange vinkler som muligt af flere kunstnere, dramatikere og instruktører. Metoden udvikles ved et fem-ugers udviklingsforløb. Målet er at skabe et alternativt teater, der danner afsæt for aktuelle, mangfoldige og autentiske oplevelser.",Aktuel kunst
553,2018,Tranen – RE-ANIMATED,244.809 kr.,"RE-ANIMATED er et udstillingsprojekt med kunstner Jakob Kudsk Steensen (DK, 1987) på Tranen. Udstillingen tager form af en VR-installation, der forlænges af formidling via talk og kuratering af bøger.",Aktuel kunst
554,2018,Alias Teaterproduktion – The Female Gaze – Kvinden under linsen,300.000 kr.,"En tværfaglig sammensmeltning af fotoudstilling, monolog og dans. Kvinden i kunsten ses oftest gennem mandens blik. I The Female Gaze belyses Kvinden gennem kvinders egne selvbilleder i fotografier af Karoline Lieberkind, tekster af ni kvindelige dramatikere og performance af Stephanie Thomasen og Line Bie Rosenstjerne.",Aktuel kunst
555,2018,Integrationspotentialet i Danmark,2.000.000 kr.,Intern uddeling.,Unge på kanten
556,2018,Bikubenfondens socialområde 2018 – rådgivning til bevillingsmodtagere,442.500 kr.,Uddeling til fondsformål.,Unge på kanten
557,2018,Flamingo – Sammen om Samfundet,200.000 kr.,"Bevillingen er givet i forbindelse med udviklingen af konceptet Sammen om Samfundet, som en del af ansøgningsrunden, Unge udenfor job og uddannelse.",Unge på kanten
558,2018,Turning Tables – Stemmer fra Blokken,198.555 kr.,,Unge på kanten
559,2018,Foreningen for socialfaglige initiativer – Vores unge. Vores fremtid,198.245 kr.,"Bevillingen er givet i forbindelse med udviklingen af konceptet ’Vores unge. Vores Fremtid’, som en del af ansøgningsrunden, Unge udenfor job og uddannelse.",Unge på kanten
560,2018,Bikubenfondens socialområde 2019 – anbringelsesporet,147.500 kr.,Uddeling til fondsformål.,Unge på kanten
561,2018,Kronprinsparrets Priser 2018,73.750 kr.,"Med Kronprinsparrets Priser sætter vi fokus på fremragende præstationer, nytænkning og høj kvalitet inden for kunst og kultur og socialt arbejde. Prismodtagerne udpeges af Kronprinsparret efter indstilling fra to rådgivende komitéer, der har ekspertise inden for enten kultur- og kunstområdet eller socialt arbejde.",Andre formål
562,2018,Unge uden job og uddannelse 2018,442.500 kr.,Intern uddeling.,Unge på kanten
563,2018,Hjem til Alle alliancen 2018,147.500 kr.,Intern uddeling.,Unge på kanten
564,2018,Bikubenfondens socialområde 2018 – sociale investeringer,147.500 kr.,Uddeling til fondsformål.,Unge på kanten
565,2018,Social IQ – Social Lab,195.000 kr.,,Unge på kanten
566,2018,Bikubenfondens socialområde 2018 – evaluering og dokumentation,221.250 kr.,Uddeling til fondsformål.,Andre formål
567,2018,Årets Reumert 2018,216.750 kr.,Intern uddeling.,Aktuel kunst
568,2018,Bikubenfondens atelierprogram 2018,72.250 kr.,Intern uddeling,Aktuel kunst
569,2018,Kronprinsparrets Priser 2018,72.250 kr.,"Med Kronprinsparrets Priser sætter vi fokus på fremragende præstationer, nytænkning og høj kvalitet inden for kunst og kultur og socialt arbejde. Prismodtagerne udpeges af Kronprinsparret efter indstilling fra to rådgivende komitéer, der har ekspertise inden for enten kultur- og kunstområdet eller socialt arbejde.",Andre formål
570,2018,Bikubenfondens kunstområde 2018 – ansøgningsrunder,144.500 kr.,Uddeling til fondsformål.,Aktuel kunst
571,2018,Udstillingsprisen Vision 2018,75.250 kr.,Intern uddeling.,Aktuel kunst
572,2018,Art Hub Copenhagen 2018,289.000 kr.,Intern uddeling.,Aktuel kunst
573,2018,Bikubenfondens kunstområde 2018,433.500 kr.,Uddeling til fondsformål.,Aktuel kunst
574,2018,Landsforeningen af VæreSteder – Ferie for udsatte unge 2018,100.000 kr.,"Ferieopholdet fungerer som et pusterum for de unge, hvor de får mulighed for at komme på ferie på lige fod med andre jævnaldrende. Ferie Camp skaber rammerne for at de unge kan få inspirerende oplevelser sammen med andre udsatte unge, som de ikke selv har mulighed for at opnå. Gennem Ferie Camps tilbud til de unge, ligger ferien op til at målgruppen skal deltage aktivt i ferien og indgå i fællesskabet med andre unge, så de oplever socialt samvær, møder nye venskaber og ikke mindst oplever nye positive sider af sig selv.",Unge på kanten
575,2018,Bikubenfondens socialområde 2018,900.000 kr.,"Bikubenfonden har med bevillingen udviklet det strategiske grundlag for udsatte unge på kanten, og har bl.a. udarbejdet publikationen ‘Unge på kanten’ sammen med Tænketanken Mandag Morgen.",Unge på kanten
576,2018,Hjem til Alle alliancen – Evaluering – effekt af alliancearbejdet,500.000 kr.,Som en del af udviklingen af Hjem til Alle Alliancen blev der udført en evaluering med det formål at videreudvikle indsatsen. Evalueringsrapporten findes på Bikubenfondens hjemmeside.,Unge på kanten
577,2018,Kraka,500.000 kr.,,Unge på kanten
578,2018,Hjem til Alle alliancen – huslejeomkostninger 2018,500.000 kr.,"Bevillingen gives med det formål at synliggøre det bidrag Bikubenfonden giver til Hjem til Alle sekretariatet i forbindelse med, at fonden stiller kontorfaciliter til rådighed for Hjem til Alle sekretariatet. Bevillingen vil blive indstillet en gang årligt, så længe sekretariatet bor på 5. sal i Fondenes Hus.",Unge på kanten
579,2018,Frelsens Hær – Ferieophold for udsatte unge,200.000 kr.,"Projektet er bygget op omkring landslejren, som er af en uges varighed, og en teen weekendlejr for de 14-19 årige, og en weekendlejr for de unge 18+. Lejrene og det lokale arbejde danner den faste ramme om det fortsatte møde mellem udsatte unge og unge fra andre samfundslag. Målet er at styrke de unges selvværd ved at give dem plads til at afprøve nye sider af sig selv gennem både sjove og mere seriøse aktiviteter. Samtidig med at de på denne måde kan dele deres historier og knytte an til andre unge, sikrer vi gennem reflekterende teams, at de udsatte unge bliver bevidste om betydningen af værdier til at navigere i tilværelsen.",Unge på kanten
580,2018,SIND Ungdom – sommerlejr for psykisk sårbare unge,103.196 kr.,"Sommerlejren er en tilbagevendende begivenhed og et gratis tilbud for alle SIND Ungdoms medlemmer og bygger bro mellem organisationens 12 klubfællesskaber fordelt i alle landets regioner. Sommerlejrens vigtigste indhold er derfor: -at skabe et nationalt fællesskab baseret på rummelighed, trygge rammer, tillid og gensidig forpligtelse. - at have et varieret aktivitetsprogram, som skaber glæde og giver gode oplevelser.",Unge på kanten
581,2018,Foreningen Grønlandske Børn – Sisi sommercamp 2018,60.000 kr.,"SiSi Sommercamp giver udsatte unge en ny og bedre forståelse for Grønland, samt styrker deres selvforståelse og dermed hjælpe dem til at stå stærkere i et udfordret ungeliv.",Unge på kanten
582,2018,Samvirkende Menighedsplejer – Ferie og natur – samvær for ungegrupper 2018,42.320 kr.,"Formålet er at styrke det allerede eksisterende fællesskab og skabe ny fællesskaber mellem de unge i grupperne på den måde, at de får mulighed for at mødes på et sommerophold under helt andre rammer. Her får de lejlighed til sammen og individuelt at prøve kræfter med at fungere sammen om at gennemføre naturaktiviteter sammen samt være kreative om fælles opgaver. Det videre mål med dette fællesskab om en opgave i det fri skal styrke relationerne mellem de unge i forvejen og give den enkelte unge et øget selvværd, engagement, handlekraft og mestringsevne.",Unge på kanten
583,2018,Bikubenfondens kunstområde 2018,144.500 kr.,Uddeling til fondsformål.,Andre formål
584,2018,KBH+ business case,300.000 kr.,"KBH+ ønsker at udvikle en business case med fokus på de økonomiske afledte effekter af både indsats, effekt og perspektiv for Københavns Kommune ift. at investere i en helhedsorienteret indsats for udsatte unge.",Unge på kanten
585,2018,BROEN Danmark – Ferieaktiviteter for børn og unge,100.000 kr.,"BROENs lokalforeninger tilbyder muligheden for at deltage i arrangementer i ferierne, - eksempelvis spejderlejre, fodboldskoler og turneringer m.m., BROENs filosofi er blandt andet, at alle børn, unge og voksne, har brug for at være en del af et fællesskab med mulighed for at øge folkesundheden generelt gennem motion, udfordre det enkelte barn fagligt eller styrke det enkelte barns sociale kompetencer.",Unge på kanten
586,2018,TEAM-PB+NK – Siunissaq sommerskole i Tasiilaq,160.000 kr.,I forlængelse af projekt Siunissaqs aktiviteter tilbydes de unge en fotoworkshop med det formål at træne de unge i at fotografere men også i hvordan man driver et fotoværksted og hvilke muligheder der ligger her for at lave aktiviteter for/sammen med andre. Workshoppen efterfølges af Niviaq Korneliussens skriveværksted som inddrager nogle af de unge særligt talentfulde skribenter i et forløb med fokus på at skrive. Der skabes kontinuitet mellem fotosommerskolen og skriveværkstedet ved blandt andet at arbejde med nogle af de samme temaer i foto og på skrift.,Unge på kanten
587,2018,Fundamentet – Den sårbare sommer,267.000 kr.,"Projektet er en kombi af 4 initiativer fra Fundamentet. De 4 initiativer som kobles sammen i 3 måneder: - Del Dit Hjem: Projektet består af to initiativer: at skaffe boliger og værelser via private og at sikre støtteindsatser til unge hjemløse. - Projekt Vi Tror På Dig: Et forløb for unge med terapi, træning, daglig hygge, ugentligt ture, besøg til virksomheder, lektiehjælp, m.m. - Behandlingsrummene: Gratis terapi, massage, fysioterapi, akupunktur, psykologhjælp, m.m. fra uddannede, professionelle behandlere som donerer x antal timer pr. uge. - Borgerhjælpen: Gratis bisiddere, gældsrådgivning og hjælp til møder, problemløsning og vejen tilbage til arbejdsmarkedet og uddannelse for mennesker i alle aldre.",Unge på kanten
588,2018,Bikubenfondens socialområde 2018,200.000 kr.,Uddeling til fondsformål.,Unge på kanten
589,2018,"TEC – Social Succes på H.C. Ørsted Gymnasiet, Frederiksberg",298.000 kr.,"Social Succes på HCØ er en udvidelse af et projekt, der tidligere på året blev gennemført på tre skoler på Frederiksberg. Ledelsen har vurderet, at der er behov for en større og mere intensiv indsats end i det oprindelige projekt. Projektet arbejder med at skabe og afprøve nye metoder, der kan afhjælpe de konkrete udfordringer gymnasiet står med, og kan forandre den nuværende praksis på adfærdsniveau.",Unge på kanten
590,2018,Bidrag til Mandag Morgens analyse om unge på kanten af samfundet,49.125 kr.,Bikubenfonden har bevilliget midler til Mandag Morgens analyse om unge på kanten af samfundet. ,Unge på kanten
591,2018,Svanninge Bjerge 2019,1.153.000 kr.,Uddeling til fondsformål.,Andre formål
592,2018,AskovFonden – KBH+ mellemfinansiering 2019,3.190.000 kr.,"Formålet med bevillingen har været at drive og udvikle KBH +. KBH+ er et sted for unge, som vil udvikles, nå deres drømme, starte på en frisk eller har brug for et arbejde. KBH + skaber sammen med de unge rammen for fællesskaber, hvor det er en værdi at være forskellige. I KBH+ findes et kulturmiljø, som de unge selv er med til at forme, hvor musik, kreativitet, visuel kunst, teater og bevægelse er platformen for fortællinger, udvikling og aktiv ungdomsdeltagelse.",Unge på kanten
593,2018,Fonden for Socialt Ansvar – drift af Bydelsmødre i en toårig overgangsfase,1.500.000 kr.,Bydelsmødre har gennem årene og med støtte fra Bikubenfonden udviklet et særdeles stærkt koncept for integration af sårbare og udsatte kvinder af anden etnisk baggrund i det danske samfund. Der er i dag omkring 600 aktive bydelsmødre fordelt på omkring 40 frivillige grupper over hele landet.,Unge på kanten
594,2018,Evaluering af KBH+,300.000 kr.,Evaluering af KBH+ foretaget af Oxford Research. Evalueringen peger bl.a. på indsatsens virkning og såkaldte virksomme mekanismer. Evalueringsrapporten findes på Bikubenfondens hjemmeside.,Unge på kanten
