"Country","Description","Foundation_name","Grant_size_(DKK)","Institution","Project_Category","Project_Subcategory","Receiver","Receiver_Name","Receiver_Profession","Receiver_Title","Region","Title","Unnamed: 0","Unnamed: 1","Year","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"CANADA","Aga Khan Foundation The Courtyard, General Mathenge Drive teachers using an approach in the classroom that incorporates learning through play with technology.","LEGO",4194276,"","","","Right to Play (Rwanda)","","","","","",15904,16047,2020,701,"1","2024-10-30T13:01:46.490657Z",15905,13.045,"International Other","2024-10-30T13:01:46.490697Z"
"CANADA","The grant aims to integrate Learning through Play into Ghana’s in-service teacher training and development system building on existing play-based teacher training materials developed by the partner.","LEGO",8324042,"","","","Right to Play (Ghana)","","","","","",15905,16048,2020,1226,"1","2024-10-31T09:53:18.339508Z",15906,9.048,"International Other","2024-10-31T09:53:18.339546Z"
"UNITED STATES","Play interaction investigations among young children and their mothers – due to Covid19 coding work will be completed with extra staff costs .","LEGO",332840,"","","","New York University","","","","","",15928,16071,2020,764,"1","2024-10-30T13:55:25.973324Z",15929,14.805,"International Other","2024-10-30T13:55:25.973364Z"
"DENMARK","To enable the LEGO Group Social Responsibility team to pivot and extend the existing Local Community Engagement program to respond to the most urgent crisis at hand globally .","LEGO",43585953,"","","","LEGO System A/S","","","","","",15964,16107,2020,1217,"1","2024-10-31T09:51:56.596265Z",15965,16.754,"International Humanitarian","2024-10-31T09:51:56.596294Z"
"DENMARK","Build the Change 2021/22","LEGO",37682000,"","","","LEGO System A/S","","","","","",15968,16111,2021,378,"1","2024-10-29T11:16:33.054098Z",15969,8.196,"Business- and regional development","2024-10-29T11:16:33.054138Z"
"UNITED STATES","Help Kidogo to support vulnerable children & their families in two key ways : Providing access to LtP resources for families to use at home; and providing financial support to Mamapreneurs to help them through the crisis as their operations and income are affected.","LEGO",1003181,"","","","Kidogo","","","","","",15989,16132,2020,1582,"1","2024-11-01T12:21:09.186267Z",15990,111.89,"International Other","2024-11-01T12:21:09.186309Z"
"UNITED STATES","The grant aims to support the education system at a national and county level to embed learning through play with technology in the system through a robust school community engagement project.","LEGO",4631569,"","","","IREX Kenya","","","","","",15994,16137,2020,340,"1","2024-10-29T10:52:06.338581Z",15995,22.208,"International Other","2024-10-29T10:52:06.338624Z"
"UNITED STATES","INEE is an open, global network of members working together to ensure the right to a quality, safe, and relevant education for all who live in emergency and crisis contexts. With support from partners like USAID, INEE is leading in response to this crisis, rolling out a robust advocacy, capacity building, and knowledge management program.","LEGO",3244150,"","","","INEE","","","","","",16007,16150,2020,1350,"1","2024-10-31T11:14:49.518651Z",16008,775.868,"International Other","2024-10-31T11:14:49.518682Z"
"UNITED STATES","This grant is a playful parenting implementation research grant. The intention of the grant is to address implementation questions within our five playful parenting interventions that will be integrated into existing health, education and social protection systems in partnership with those partners. the focus of this grant is on how we implement grants at scale and with quality.","LEGO",6079062,"","","","FHI Partners","","","","","",16033,16176,2020,1470,"1","2024-10-31T14:49:12.213170Z",16034,5.172,"International Other","2024-10-31T14:49:12.213210Z"
"MEXICO","To keep Education for Sharing operational through support for staff costs, utilities, and materials to compensate for the deficit caused by the COVID -19 crisis and develop activities through social media .","LEGO",1398743,"","","","Education for Sharing","","","","","",16038,16181,2020,100,"1","2024-10-28T13:25:34.135243Z",16039,39.542,"International Humanitarian","2024-10-28T13:25:34.135284Z"
"DENMARK","Children’s General Assembly 2022 ","LEGO",2000000,"","","","CoC office A/S (CoC Playful Minds A/S) ","","","","","",16052,16195,2022,258,"1","2024-10-28T14:44:21.759095Z",16053,271.541,"Education and public information","2024-10-28T14:44:21.759133Z"
"SOUTH AFRICA","Building Playful learning environments and systems in South Africa","LEGO",28871000,"","","","CIDE","","","","","",16056,16199,2021,145,"1","2024-10-28T13:38:52.684451Z",16057,59.158,"International Other","2024-10-28T13:38:52.684490Z"
"DENMARK","CoC Playful Learning & Play Lab - Scale-up","LEGO",3712000,"","","","Billund Kommune","","","","","",16081,16224,2021,1392,"1","2024-10-31T12:29:31.534075Z",16082,14.374,"Business- and regional development","2024-10-31T12:29:31.534115Z"
"DENMARK","Mental health and psychosocial support response in the aftermath of earthquakes in Türkiye and Syria and the protracted humanitatian crisis in Lebanon","LEGO",13603000,"","","","UNICEF Denmark, UN Children’s Fund","","","","","",16126,16269,2023,1593,"1","2024-11-01T12:25:37.144210Z",16127,5.711,"International Humanitarian","2024-11-01T12:25:37.144250Z"
"ITALY","Reversal of previous committed grants not disbursed","LEGO",-306000,"","","","Fondazione Reggio Childre-Centro Loris Malaguzzi","","","","","",16152,16295,2023,1108,"1","2024-10-31T08:47:03.626615Z",16153,11.568,"International Other","2024-10-31T08:47:03.626641Z"
"DENMARK","Price index adjustment of grants for Mary Elizabeth’s Hospital","LEGO",135000000,"","","","Ole Kirk's Fond","","","","","",16159,16302,2023,1635,"1","2024-11-01T12:40:21.246148Z",16160,7.53,"Health","2024-11-01T12:40:21.246187Z"
"","FGU Nordvestsjælland vil øge trivslen og mental sundhed blandt de studerende på FGU Nordvestsjælland. Sammen med Psykiatrien og Broen til Bedre Sundhed i Region Sjælland, Ventilen, Den kommunale Ungeindsats og Modstrøm udvikles nye tilgange og aktiviteter (rådgivning, peer-støtte og aktiviteter for at styrke de studerendes netværk og fællesskab.","EGMONT",2112000,"","Godt på vej i ungdomsuddannelse","","FGU Nordvestsjælland","","","","","Bedre mental trivsel hos unge på Forberedende Grunduddannelse",16203,16346,2022,858,"1","2024-10-30T14:27:21.528940Z",16204,262.328,"Social Purpose","2024-10-30T14:27:21.528982Z"
"","Formålet med uddelingerne er at yde økonomisk støtte til socialt udsatte børn og unge, som Bydelsmødre og baba kommer i kontakt med gennem deres frivillige indsatser. Denne økonomiske støtte har samtidig til formål at understøtte børnenes og de unges læring og sociale, personlige og relationelle udvikling.","EGMONT",3200000,"","Lige muligheder for børn i fattigdom","","Fonden for Socialt Ansvar","","","","","En Håndsrækning 2022",16211,16354,2022,696,"1","2024-10-30T13:01:10.853405Z",16212,3.996,"Social Purpose","2024-10-30T13:01:10.853443Z"
"","Partnerskabet har til formål at reducere unges frafald fra ungdomsuddannelser i Norge.","EGMONT",1597130,"","Godt på vej i ungdomsuddannelse","","Kronprinsparets Fond","","","","","Partnerskab 2022",16219,16362,2022,1669,"1","2024-11-01T12:45:01.052101Z",16220,17.904,"Education and public information","2024-11-01T12:45:01.052141Z"
"","Støtte til nytilkomne børn, unge og familier.","EGMONT",2000000,"","På tværs af mærkesager","","Dansk Flygtningehjælp","","","","","Program for flygtninge",16223,16366,2022,770,"1","2024-10-30T13:56:45.779787Z",16224,9.581,"Social Purpose","2024-10-30T13:56:45.779833Z"
"","Formål med partnerskabet er at skabe de fællesskaber og den forandring, der er nødvendig for, at langt flere unge får en god ungdomsuddannelse, et godt arbejde og vigtigst et godt liv.","EGMONT",2147500,"","Godt på vej i ungdomsuddannelse","","Modstrøm","","","","","Spirepartnerskab 2022",16226,16369,2022,716,"1","2024-10-30T13:33:52.928816Z",16227,14.58,"Business- and regional development","2024-10-30T13:33:52.928855Z"
"","Formålet med indsatsen er at understøtte den positive udvikling, som De Anbragtes Vilkår har gennemgået over de seneste år. Med ’Børnene først’-reformen venter der et vigtigt, men krævende implementeringsarbejde set fra et børne- og ungeperspektiv. DAV fokuserer særligt på, at styrke anbragte børn og unges skolegang.","EGMONT",8132000,"","Et bedre liv som anbragt","","De Anbragtes Vilkår","","","","","Spirepartnerskab",16247,16390,2021,1603,"1","2024-11-01T12:26:38.212507Z",16248,14.399,"Social Purpose","2024-11-01T12:26:38.212547Z"
"","Intiativet dækker en kapacitetsudvidelse af bemandingen om natten på børnetelefonen (12-18 år) & udvikling af et koncepet, som tilskynder fagprofessionelle m.fl. til underrentinger af småbørn i risiko (0-6 år).","EGMONT",5118550,"","På tværs af mærkesager","","Barnens rätt i samhället (BRIS)","","","","","Støtte til børn i alle aldre - yderligere styrkelse af børns rettigheder i Sverige",16248,16391,2021,1703,"1","2024-11-01T14:32:36.666637Z",16249,5.586,"Social Purpose","2024-11-01T14:32:36.666675Z"
"","Med Egmont Fondens jubilæumspris vil Børn, Unge & Sorg gøre deres psykologhjælp til sorgramte børn og unge tilgængelig flere steder i landet, ligesom prisen vil gå til at understøtte Børn, Unge & Sorgs corona-hotline. På hotlinen kan børn, unge og forældre i hele landet få gratis psykologhjælp til svære tanker og følelser udløst af corona.","EGMONT",1000000,"","Mere ungdom, mindre sygdom","","Børn, Unge & Sorg","","","","","Egmont Fondens 100-års jubilæumspris",16251,16394,2020,970,"1","2024-10-30T15:12:50.694177Z",16252,22.812,"Health","2024-10-30T15:12:50.694209Z"
"","Der gives økonomisk støtte til at opfylde ønsker fra børn og unge, som kommer fra familier i langvarig fattigdom, eller som har flygtningebaggrund. Målet er at styrke deres sociale relationer og muligheder for at leve et normalt børneliv. Det kan fx omfatte støtte til ferie, fritidsaktiviteter eller konfirmation samt støtte til udgifter i forbindelse med skolestart.","EGMONT",2000000,"","Lige muligheder for børn i fattigdom","","Norske Kvinners Sanitetsforening","","","","","En Håndsrækning",16257,16400,2020,703,"1","2024-10-30T13:31:33.013131Z",16258,7.235,"Social Purpose","2024-10-30T13:31:33.013158Z"
"","Formålet med indsatsen er, at flere småbørn i udsatte og sårbare familier får mulighed for at vokse op med litteratur og læsning som en integreret del af deres liv, som et første og vigtigt skridt til at udligne læringsulighed og berede vejen for en ungdomsuddannelse.","EGMONT",1461000,"","Godt på vej i ungdomsuddannelse","","Læseforeningen","","","","","Højtlæsning og fællesskab for udsatte forældre og deres børn",16262,16405,2020,1293,"1","2024-10-31T10:21:09.269344Z",16263,13.383,"Business- and regional development","2024-10-31T10:21:09.269370Z"
"","På grund af de sundhedsmæssige begrænsninger forårsaget af coronakrisen er det ikke muligt at afvikle camps som planlagt om sommeren og sandsynligvis ikke for resten af 2020. Støtten skal gå til at omorganisere camps om sommeren og i efteråret. I alt forventer Lær for Livet tilmelding fra ca. 230 børn og 20 tidligere børn som rollemodeller.","EGMONT",1768000,"","Et bedre liv som anbragt","","Lær for Livet","","","","","Learning camps i lyset af coronakrisen",16264,16407,2020,1894,"1","2024-11-01T16:32:51.453428Z",16265,10.618,"Social Purpose","2024-11-01T16:32:51.453456Z"
"","Egmont Fondens sætter i 2019 fokus på ""Den gode skolestart"". Indsatsområdet sætter fokus på, hvad den gode skolestart, hvilke konsekvenser det har, og hvordan man kan styrke den gode skolestart for at sikre bedre læring og livsduelighed for børn og unge. I løbet af 2019 danner indsatsområdet rammen om de større kommunikationsaktiviteter, herunder Folkemødet.","EGMONT",2350000,"","Lige muligheder for børn i fattigdom","","Egmont Fonden","","","","","Den gode skolestart",16284,16427,2019,1206,"1","2024-10-31T09:49:47.070111Z",16285,19.093,"Education and public information","2024-10-31T09:49:47.070136Z"
"","Skolens Venner er en del af Egmont Fondens spireprogram og arbejder for at sikre gode børnefællesskaber særligt i indskolingen gennem skolevenner. Med Egmont Fondens støtte skal Skolens Venner bl.a. udvikle en plan for, hvordan konceptet kan skaleres til flere skoler.","EGMONT",1225000,"","Alle børn skal kunne læse og regne","","Skolens Venner","","","","","Spireprogram",16302,16445,2019,163,"1","2024-10-28T13:47:42.376801Z",16303,336.695,"Social Purpose","2024-10-28T13:47:42.376828Z"
"","Dette lokale community-initiativ har til formål at støtte ordblinde unge, som er i risiko for ikke at gennemføre en ungdomsuddannelse. SOMENTUM vil give frivillig mentorstøtte og uddannelsesrådgivning til de unge samt inddrage forældrene heri. Målgruppen er unge (14-17 år), der for nylig er blevet diagnosticeret med dysleksi, og som er motiverede til at gennemføre en ungdomsuddannelse.","EGMONT",220000,"","Godt på vej i ungdomsuddannelse","","SOMENTUM","","","","","’Det er aldrig for sent….’",16307,16450,2019,886,"1","2024-10-30T14:40:51.417846Z",16308,19.008,"Business- and regional development","2024-10-30T14:40:51.417883Z"
"","","FMBA",398000,"","Skadeforebyggelse","","","","","SEGES Innovation P/S","","",16344,16487,2023,185,"1","2024-10-28T13:54:15.867937Z",16345,6.761,"Business- and regional development","2024-10-28T13:54:15.867978Z"
"","","FMBA",46500,"","Skadeforebyggelse","","","","","Musikværket Ry - Gnisten","","",16345,16488,2023,386,"1","2024-10-29T11:18:15.740062Z",16346,20.376,"Culture","2024-10-29T11:18:15.740101Z"
"","","FMBA",99000,"","Børn & familie","","","","","Foreningen Human Rise","","",16395,16538,2023,735,"1","2024-10-30T13:52:14.130686Z",16396,4.793,"Social Purpose","2024-10-30T13:52:14.130732Z"
"","","FMBA",570778,"","Børn & familie","","","","","FRAK","","",16416,16559,2023,1562,"1","2024-11-01T11:58:37.304155Z",16417,21.553,"Business- and regional development","2024-11-01T11:58:37.304194Z"
"","","FMBA",250000,"","Uddannelse","","","","","Odense Universitetshospital","","",16428,16571,2023,626,"1","2024-10-30T12:16:07.692097Z",16429,14.527,"Education and public information","2024-10-30T12:16:07.692124Z"
"","","FMBA",351500,"","Øvrige formål","","","","","Street Society","","",16457,16600,2023,1084,"1","2024-10-31T07:52:37.555868Z",16458,3.703,"Social Purpose","2024-10-31T07:52:37.555907Z"
"","","FMBA",1000,"","Øvrige formål","","","","","DANSK FLYGTNINGEHJÆLP","","",16468,16611,2023,1130,"1","2024-10-31T09:13:51.474748Z",16469,1.6,"Social Purpose","2024-10-31T09:13:51.474788Z"
" Denmark","Center for Pharmaceutical Data Science Education is funded by the LEO Foundation, the Novo Nordisk Foundation and the Lundbeck Foundation with a total of DKK 123 million over a six-year period.
The new center merges two fields of study – the pharmaceutical sciences and data science – and will ensure the students’ qualifications in data science by upgrading relevant compulsory bachelor’s and master’s courses. Artificial intelligence, machine learning and the use of big data open a huge area of knowledge, new data sources and methods, which should be integrated in the best possible way in the pharmaceutical sciences education.","LEO",30000000,""," Standalone grants",""," The University of Copenhagen and the University of Southern Denmark","","","","","Center for Pharmaceutical Data Science Education",16527,16670,2024,896,"1","2024-10-30T14:41:56.069949Z",16528,21.27,"Research and Science","2024-10-30T14:41:56.069988Z"
" USA","The goal of Eliza Pei-Suen Tsou’s project is to understand the importance of aging endothelial cells (a cell type lining blood vessels) in scleroderma.
Scleroderma is an autoimmune disease characterized by inflammation, scarring of tissues and organs, including the skin, and changes in blood vessels throughout the body.
Most patients experience vascular abnormalities as one of the first symptoms, which trigger tissue stiffness and related complications later in the disease. Although these vascular changes are early critical events, the underlying cause of why they occur has not been determined.
Eliza Pei-Suen Tsou and her team found that dermal endothelial cells from scleroderma patients function differently compared to healthy controls. In particular, these cells undergo senescence, which is a process by which a cell ages but does not die off when it should. Over time, large numbers of senescent cells build up in the body. These cells remain active and release harmful substances that may cause inflammation and damage to nearby healthy cells.
In this project, Eliza and the team aim to determine the cause for vascular abnormalities in scleroderma, with a specific focus on how senescence is involved. They hypothesize that endothelial cell senescence is fundamental in causing the disease and might be targeted for therapy. Specifically, they propose that endothelial senescence accounts for the abnormality of endothelial cells in scleroderma, resulting not only in blood vessel changes but also in tissue scarring.
The goal is to determine why the endothelial cells acquire the senescent phenotype, and what this senescent phenotype does to promote the disease.
This project may form the basis for novel approaches to treating scleroderma.","LEO",3990092,""," Research Grants in open competition",""," Eliza Pei-Suen Tsou, Assistant Professor, University of Michig","","","","","Endothelial senescence in the pathogenesis of systemic sclerosis",16561,16704,2024,777,"1","2024-10-30T14:00:19.610661Z",16562,4.501,"Research and Science","2024-10-30T14:00:19.610690Z"
" Denmark","The Science Olympiads aim to stimulate the interest of Danish high school students in the fields of chemistry, physics, mathematics, biology, geography, and computer science. The Olympiad builds on six tracks – one in each of the six fields – which each follow the same structure, kicked off with annual nationwide competitions. Around 20,000 students participate in the national competitions, often as an integrated part of their high school education. The most talented students can qualify to participate in the international Science Olympiads. The Science Olympiads challenge gifted students to expand their talent, promote future careers in science, and provide them with a valuable network of peers
Visit the Science Olympiads’ webpage","LEO",1800000,""," Education and Awareness Grants",""," Niels Hartling, Science Olympiad","","","","","The Science Olympiads (Science Olympiaderne)",16589,16732,2023,1958,"1","2024-11-04T11:20:00.862452Z",16590,4.936,"Education and public information","2024-11-04T11:20:00.862483Z"
" USA","Caroline Le Poole’s project aims to investigate the potential link between the gut microbiome composition and vitiligo development.
The etiology of vitiligo involves a complex hereditary component, as well as environmental factors that precipitate disease. Caroline Le Poole and her team initially asked whether the gut microbiome impacts T cell-mediated autoimmune depigmentation. Manipulating the gut microbiome by oral antibiotics, they demonstrated a significant impact on vitiligo development in an established mouse model of the disease. Specifically, when using ampicillin to favor gut colonization by Pseudomonas species, they observed accelerated vitiligo development. Meanwhile, neomycin treatment was associated with an abundance of Bacteroides species in the gut, while mice in this group did not develop measurable depigmentation. These and other findings suggest that specific microbes can influence vitiligo development.
Here, they will test the hypothesis that the microbiome is a causative pathogenic factor fueling the autoimmune response to melanocytes causing the hallmark progressive depigmentation seen in vitiligo. The team will use mouse and human fecal transplants and manipulate the diet of vitiligo-prone mice. Moreover, individual microbial species will be introduced into germ-free mice before assessing depigmentation kinetics. Ultimately, therapeutic benefit may be derived from promoting the species that support regulatory T cell activity.","LEO",2979828,""," Research Grants in open competition",""," Caroline Le Poole, Professor, Northwestern University","","","","","Microbial impact on vitiligo development",16591,16734,2023,195,"1","2024-10-28T14:28:07.876776Z",16592,4.969,"Research and Science","2024-10-28T14:28:07.876819Z"
" Australia","In this study, Associate Professor Kiarash Khosrotehrani of The University of Queensland in Australia proposes to better characterise the molecular nature of the factors provided by fibroblasts to support basal cell carcinoma (BCC) growth in vivo in order to find new targets for therapies that would prevent BCC development. He and his team will also show proof of principle demonstrating that targeting this process can actually prevent BCC development.
These findings have the potential to translate in effective prevention strategies, allowing field therapy of normal looking skin to avoid the development of new BCCs. Such finding will have strong health benefits in terms of morbidity associated with multiple surgeries, years of healthy life enjoyed by individuals and finally in terms of economic cost.","LEO",1927391,""," Research Grants in open competition",""," Associate Professor Kiarash Khosrotehrani, University of Queensland","","","","","Preventing Basal Cell Carcinoma formation by targeting the tumor environment",16606,16769,2015,1645,"1","2024-11-01T12:42:08.862278Z",16607,3.225,"Research and Science","2024-11-01T12:42:08.862316Z"
" Denmark","Psoriasis is a chronic inflammatory skin condition with a prevalence of 2-3% in northern Europe. While considerable research exists on adults with psoriasis, there is little research on the condition in children. Identifying key factors associated with psoriasis in childhood may lead to more effective control and possibly even prevention of the condition.
The study aims to determine environmental and genetic risk factors relating to the development of psoriasis in children, the nature of stress related to the child and family, and quality of life. The project also aims to determine the link with risk factors of co-morbidity and the effect of early intensive treatment.
The study is led by Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital, Denmark. The team will explore the following hypotheses:
Risk factors for early onset of psoriasis can be predicted
Early debut of psoriasis has a significant impact on quality of life and individual and family-related stress
Early intensive treatment leads to remission
There is already an increased risk of co-morbidity in children with psoriasis
Age at debut, risk factors and co-morbidity are related
to the genetic risk.
The study offers a unique possibility to access data from children with psoriasis shortly after diagnosis, which in turn can pave the way for new and improved tools for assessing the impact of the condition on quality of life in a well-controlled study design.","LEO",4500000,""," Research Grants in open competition",""," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital","","","","","Psoriasis in children",16621,16794,2014,2038,"1","2024-11-04T13:34:26.973140Z",16622,33.131,"Research and Science","2024-11-04T13:34:26.973185Z"
" Australia","In this study, Associate Professor Kiarash Khosrotehrani of The University of Queensland in Australia proposes to better characterise the molecular nature of the factors provided by fibroblasts to support basal cell carcinoma (BCC) growth in vivo in order to find new targets for therapies that would prevent BCC development. He and his team will also show proof of principle demonstrating that targeting this process can actually prevent BCC development.
These findings have the potential to translate in effective prevention strategies, allowing field therapy of normal looking skin to avoid the development of new BCCs. Such finding will have strong health benefits in terms of morbidity associated with multiple surgeries, years of healthy life enjoyed by individuals and finally in terms of economic cost.","LEO",1927391,""," Research Grants in open competition",""," Associate Professor Kiarash Khosrotehrani, University of Queensland","","","","","Preventing Basal Cell Carcinoma formation by targeting the tumor environment",16626,16809,2015,1046,"1","2024-10-31T07:46:44.466544Z",16627,2.892,"Research and Science","2024-10-31T07:46:44.466587Z"
" Denmark","Understanding how drugs interact with skin has long been a challenge within pharmaceutical research. Now, a new center at the Department of Pharmacy, UCPH, is set to become an international lighthouse in this research area, supported by a DKK 40 million grant from the LEO Foundation.
The LEO Foundation Center for Cutaneous Drug Delivery will form the basis of new research on skin and drugs. Behind the project is the Department of Pharmacy at the University of Copenhagen, where the center will also be located. The Director of the new center, Martin Malmsten, was formerly Head of Research at Uppsala University.
“I hope to contribute with my experience and thus help motivate and inspire colleagues and employees, enabling us to provide the best possible results. At the same time, I look forward to becoming part of the University of Copenhagen, where they have been very willing to prioritize strategic focus areas. The new center offers great and long-term opportunities for making an impact on international research and I’m happy to be part of this initiative, which will lift research in a very exciting area,” said Martin Malmsten.
The LEO Foundation Center for Cutaneous Drug Delivery will conduct research on what happens in and on the skin when we apply drugs. There will be a particular focus on the physical-chemical aspects of the interaction between skin and drugs, which is important to the development of new drugs. This will hopefully help optimize the drug properties and allow for maximum utilization while simultaneously minimizing side effects.
“Our new center meets a huge demand for understanding how drugs interact with skin. With a strong team of highly qualified researchers, we will set new standards for research in the field of dermatology and I’m both proud and grateful that this grant from the LEO Foundation has helped us attract new and strong forces to UCPH. This new strategic effort will benefit patients as well as society in general,” said Dean Ulla Wewer from the Department of Health and Medical Sciences at the University of Copenhagen.
Generating new knowledge while also providing a space for innovative research methods and new analytical technologies is what the center aims for. The LEO Foundation has backed the center with a grant of DKK 40 million over the next ten years, which in itself is quite remarkable.
“We’re very happy to support this important initiative and the grant of DKK 40 million over the next ten years is the single largest grant the foundation has ever awarded. What’s more important, however, is the fact that we are quite convinced that the center with its strong team of researchers has the potential to become a global powerhouse in terms of research on the dynamic interaction between drugs and skin,” said Lars Olsen, Chairman of the LEO Foundation.","LEO",40000000,""," Standalone grants",""," Department of Pharmacy, University of Copenhag","","","","","LEO Foundation Center for Cutaneous Drug Delivery",16638,16831,2015,320,"1","2024-10-28T14:55:35.525062Z",16639,20.376,"Research and Science","2024-10-28T14:55:35.525102Z"
" Germany","Presented to Dr. med. Christina Zielinski, research group leader and dermatological fellow, Department of Dermatology and Allergology and Berlin-Brandenburg Center for Regenerative Therapies, Charité University Medicine, Berlin.
Dr. Zielinski’s research focuses on how the body’s immune system protects itself from microbial assault by distinguishing between the body’s own cells and foreign organisms. It examines what happens when the body does not regulate itself in this way and how this affects the development of autoimmune diseases such as psoriasis and multiple sclerosis. Insights gained from these studies are expected to identify molecular cues that can be exploited in order to develop immune modulation therapies.","LEO",500000,""," LEO Foundation Awards",""," Dr. Christina Zielinski","","","","","The LEO Foundation Award 2014 – Silver Award",16649,16852,2014,2034,"1","2024-11-04T13:30:32.195953Z",16650,9.871,"Research and Science","2024-11-04T13:30:32.195991Z"
" Denmark","Psoriasis is a chronic inflammatory skin condition with a prevalence of 2-3% in northern Europe. While considerable research exists on adults with psoriasis, there is little research on the condition in children. Identifying key factors associated with psoriasis in childhood may lead to more effective control and possibly even prevention of the condition.
The study aims to determine environmental and genetic risk factors relating to the development of psoriasis in children, the nature of stress related to the child and family, and quality of life. The project also aims to determine the link with risk factors of co-morbidity and the effect of early intensive treatment.
The study is led by Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital, Denmark. The team will explore the following hypotheses:
Risk factors for early onset of psoriasis can be predicted
Early debut of psoriasis has a significant impact on quality of life and individual and family-related stress
Early intensive treatment leads to remission
There is already an increased risk of co-morbidity in children with psoriasis
Age at debut, risk factors and co-morbidity are related
to the genetic risk.
The study offers a unique possibility to access data from children with psoriasis shortly after diagnosis, which in turn can pave the way for new and improved tools for assessing the impact of the condition on quality of life in a well-controlled study design.","LEO",4500000,""," Research Grants in open competition",""," Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital","","","","","Psoriasis in children",16651,16854,2014,1650,"1","2024-11-01T12:42:35.887894Z",16652,10.432,"Research and Science","2024-11-01T12:42:35.887924Z"
" USA","Itch is probably the most common symptom in dermatology and it is associated with a significant impact on the patient’s life.
A team led by Professor Martin Steinhoff, University of California San Francisco, has set out to develop novel targeted therapies for chronic itch in humans.
Besides the lesional and non-lesional as compared to healthy skin, the project team will also identify critical itch mediators and/or receptors that are expressed (and activated) in human dorsal root ganglion (DRG) and spinal cord tissue. To address this, mediators will be identified as well as receptors associated with human itch, and thereby the team will be able to define “biomarkers” for the different pruritic human diseases.
The project will be the first-of-a-kind study to analyse the expression and distribution of key itch mediators and receptors in human skin, human DRG and human spinal cord, and will therefore provide a significant basis for future translational research that targets these mediators/receptors in the different subtypes of itch.
Moreover, it is the first time that it will be tested whether several new itch pathways that have been described in murine skin models are relevant, i.e. can be translated, in human disease state.","LEO",2594115,""," Research Grants in open competition",""," Professor Martin Steinhoff, University of California San Francisco","","","","","Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus",16664,16877,2013,478,"1","2024-10-29T13:46:19.700618Z",16665,9.099,"Research and Science","2024-10-29T13:46:19.700664Z"
" United Kingdom","Presented to British researcher William Agace. Agace and his research team investigated the underlying control mechanisms for the processes behind the generation and movement of lymphocytes in the intestines, and identified the factors that determine which are activated and where they go in the intestinal system.
Insight gained from William Agace’s research will enable new and more targeted therapies for ailments such as chronic inflammatory bowel disease, a serious disorder with only limited treatment options available today. William Agace earned his MSc at Bristol University in microbiology, and his PhD in immunology from Lund University. In the late 1990’s, he spent three years as a postdoc at Harvard Medical School. In 2006, he was appointed professor of experimental medical research and head of the immunology section at Lund University. He has published more than 35 original articles and several book chapters.","LEO",500000,""," LEO Foundation Awards",""," Dr. William Agac","","","","","The LEO Foundation Award 2008 – Silver Award",16733,16996,2008,214,"1","2024-10-28T14:31:13.640455Z",16734,9.649,"Research and Science","2024-10-28T14:31:13.640498Z"
"","Does astrocytic dysregulation contribute to stress-induced sleep disturbances?","LUNDBECK",2500000,"","Postdocs","","University of Copenhagen","Mie Andersen","POSTDOC","","","",16750,17013,2024,23,"1","2024-10-24T12:24:50.417852Z",16751,7.982,"Research and Science","2024-10-24T12:24:50.417894Z"
"","Mapping the Mind's Mosaic: Revealing spatial dynamics of modified proteins during neurodegeneration","LUNDBECK",1999905,"","Experiment","","University of Copenhagen","Luke Gamon","ASSISTANT PROFESSOR","","","",16790,17053,2023,650,"1","2024-10-30T12:17:55.650271Z",16791,3.589,"Research and Science","2024-10-30T12:17:55.650300Z"
"","Measuring the reliability of trustworthy healthcare AI for mental health risk prediction","LUNDBECK",1997171,"","Experiment","","Technical University of Denmark","Aasa Feragen","PROFESSOR","","","",16798,17061,2023,1250,"1","2024-10-31T10:15:52.032388Z",16799,11.758,"Research and Science","2024-10-31T10:15:52.032415Z"
"","Læremiddel til unge om stress, angst og depression (arbejdstitel)","LUNDBECK",1449975,"","SEC - Science Education & Communication","","CFC Kort & Dok","Marianne Abildgaard","PROJECT MANAGER","","","",16869,17132,2023,19,"1","2024-10-24T12:23:58.880008Z",16870,21.827,"Education and public information","2024-10-24T12:23:58.880048Z"
"","Ph.d. Cup 2024","LUNDBECK",3337500,"","SEC - Science Education & Communication","","Dagbladet Information","Maja Find","PROJECT DIRECTOR","","","",16873,17136,2023,1980,"1","2024-11-04T12:01:43.796740Z",16874,38.057,"Education and public information","2024-11-04T12:01:43.796780Z"
"","Temporal dynamics of neural circuit degeneration in ALS","LUNDBECK",150000,"","LFIN - Investigator Network","","University of Copenhagen","Ilary Allodi","GROUP LEADER","","","",16895,17158,2023,1322,"1","2024-10-31T10:58:32.030546Z",16896,3.637,"Research and Science","2024-10-31T10:58:32.030585Z"
